"sent_pos","source"
0,"Ежедневно от СПИДа в мире умирает около 5 тыс."
1,"человек По данным экспертов, каждые 6 секунд на планете появляется новый ВИЧ-инфицированный."
2,"Ежедневно около 5 тыс."
3,"человек во всем мире умирают от СПИДа."
4,"Такие неутешительные данные приведены на открывшейся в Риме 6-й Конференции по патогенезу, лечению и предупреждения ВИЧ (IAS 2011), на которую съехалось около 6 тыс."
5,"экспертов с разных уголков мира."
6,"По данным экспертов, каждые 6 секунд на Земле появляется новый ВИЧ-инфицированный — это составляет около 7400 человек в день, из которых 1000 — дети."
7,"При этом лишь половина из них обращаются за помощью, сообщает «Росбалт»."
8,"По словам сопредседателя конференции Стефано Велла, чтобы побороть вирус, все заражённые должны лечиться и проходить терапию, как это было в 1950-х годах при борьбе с туберкулезом."
9,"Распространение СПИДа до сих пор не может контролироваться, считает другой участник конференции."
10,"Об отношении к ВИЧ-инфицированным в нашем обществе читайте в статье Частного корреспондента «Синдром разбившихся надежд»"
