"sent_pos","source"
0,"Три минуты назад Россия сократила поставки газа в Белоруссию По словам Дмитрия Медведева, оплата долга в размере 200 млрд долларов «маслом и сыром» не пройдёт."
1,"Глава российского государства поручил руководителю ОАО «Газпром» Алексею Миллеру начать ограничение поставок голубого топлива в соседнее государство."
2,"Другими словами, Белоруссия не отреагировала на газовый ультиматум Москвы ничем, кроме документально неподкреплённых заявлений о том, что это «Газпром» должен Минску 200 млрд долларов за транзит газа в Европу."
3,"Дмитрий Медведев распорядился сократить поставки топлива в Белоруссию пропорционально объёму её долга и при этом продолжать переговоры по урегулированию задолженности."
4,"Российский газовый монополист принял решение ограничивать поставки газа Белоруссии постепенно."
5,"Частично перекрыть трубу в случае неуплаты в «Газпроме обещали в понедельник в 10:00 утра."
6,"По словам Алексея Миллера, подвижки в газовом конфликте уже есть."
7,"Минск более не отказывается от задолженности, но предлагает компенсировать 200 млрд долларов не деньгами, а натуральными продуктами: машинами, оборудованием и продуктами."
8,"Президент с таким бартером не согласен, поскольку в соответствии с российскими законами зарубежные платежи должны приниматься только в иностранной валюте."
9,"«Газпром» ничем не может принимать оплату за долг: ни пирогами, ни маслом, ни сыром, ни другими средствами платежей."
10,"Необходимо отстаивать интересы российских потребителей и в конечном счёте российского государства», — цитирует NEWSru.com Дмитрия Медведева."
