"sent_pos","source"
0,"Дорогие друзья шахмат, Сегодня исторический день для на нашего спорта!"
1,"После месяцев переговоров с обоими шахматистами, я с удовольствием сообщаю, что матч на первенство мира Топалов — Крамник состоится с 21 сентября по 13 октября 2006 года в столице Калмыкии — Элисте."
2,"Оба шахматиста и их менеджеры согласовали все технические детали матча, который будет состоять из 12 партий и гарантированный призовой фонд матча — 1 миллион долларов."
3,"После раскола произошедшего в 1993 году, этот матч будет несомненным окончанием всех сомнений о статусе звания «Чемпион мира по шахматам»."
4,"С начала моей деятельности в качестве президента ФИДЕ, с 1995 года, я обещал работать над сохранением единства ФИДЕ во всех аспектах."
5,"Как раз вокруг звания «Чемпион мира по шахматам», всё эти годы, было не лёгкой задачей — удовлетворить требованиям всех заинтересованных в этом вопросе сторон, но мы всегда придерживались наших принципов и действовали в духе нашего девиза «Мы одна семья» (GENS UNA SUMUS)."
6,"Сегодня наши усилия привели к успеху."
7,"Мы, все, ожидаем это большое событие — матч на первенство мира по шахматам 2006 года."
8,"Я хотел бы подчеркнуть еще раз, что мы определенно продолжим нашу работу, чтобы сделать ФИДЕ сильной и единой."
9,"Так, как мы это уже делали в течение прошлых 10 лет."
10,"Пусть победит сильнейший!"
11,"Кирсан Илюмжинов Президент ФИДЕ"
