"sent_pos","source"
0,"Дмитрий Медведев пообещал скорые кадровые перестановки в руководстве МВД Президент России расставил очередные акценты в реформе силового ведомства и взял её на личный контроль."
1,"Глава страны сегодня заявил о том, что численность сотрудников центрального аппарата силового ведомства уменьшится вдвое ― с 20 до 10 тыс."
2,"человек."
3,"Более того, руководство милиции ждут серьёзные кадровые перестановки."
4,"Так, генеральские должности в министерстве достанутся чиновникам из президентского кадрового резерва."
5,"«Подбор и выдвижение на эти должности будет производиться из числа перспективных офицеров милиции, которые готовы честно защищать закон и права наших граждан», ― цитирует NEWSru.com Дмитрия Медведева."
6,"Президент также заявил о том, что служба в МВД станет отягчающим обстоятельством для преступников, как, например, пребывание в алкогольном опьянении."
7,"За неисполнение приказа руководства сотрудников ждёт уголовное наказание."
8,"«Ответственность сотрудников внутренних дел всех уровней будет усилена."
9,"С нарушителями дисциплины нужно бороться, причём бороться жёстко."
10,"Тот, кто не исполняет правомерный приказ, ― тот преступник», ― уточнил президент и пообещал взять реформу МВД на личный контроль."
11,"И сегодня же Дмитрий Медведев завизировал указ «О некоторых мерах по реформированию Министерства внутренних дел Российской Федерации», в соответствии с которым к 1 декабря 2010 года в Госдуму будет внесён проект федерального закона «О милиции»."
12,"Документ лишает ведомство функций по выдворению иностранцев, проведению техосмотра транспорта, содержанию вытрезвителей."
13,"О том, что реформа МВД давно назрела, свидетельствует масса преступлений, совершённых милиционерами."
14,"Об одном из них читайте в статье Частного корреспондента «Кошмар на улице Ясеневой»"
