"sent_pos","source"
0,"Мамаша, не курите!"
1,"Курение во время беременности в будущем приведёт ребёнка к психозу."
2,"У детей, матери которых курили табак во время беременности, повышен риск психотических проявлений в подростковом возрасте, предупреждают британские исследователи."
3,"Свои слова они подтверждают цифрами: они проанализировали данные о 6 тыс."
4,"детей в возрасте 12 лет."
5,"Все эти подростки прошли опрос по выявлению психотических симптомов, таких, как галлюцинации и бред."
6,"У 11% опрошенных был выявлен тот или иной психоз или подозрение на него."
7,"Причем это явно было взаимосвязано с тем, курила мать ребенка во время беременности табак или нет."
8,"Врачи считают, что многие дети были бы свободны от психозов, если бы их матери в свое время отказались от сигарет."
9,"Небольшое число женщин, кстати, сообщили об употреблении марихуаны во время беременности, но это видимого влияния на частоту психозов у детей не оказывало."
10,"О том, что проще – минимизировать вред от сигарет или решительно отказаться от дурной привычки, читайте статью «Электронная затяжка»."
