"sent_pos","source"
0,"В начале июне в Турине состоятся выборы президента международной шахматной федерации ФИДЕ."
1,"Два кандидата продолжают свои предвыборные кампании также и в Интернете."
2,"Оба кандидата организовали свои предвыборные Интернет страницы."
3,"Свою кампанию нидерландский предприниматель Бессель Кок проводит под девизом The Right Move (Правильный ход)."
4,"Также называется и его предвыборная Интернет страница The Right Move."
5,"Предвыборная Интернет страница действующего президента ФИДЕ Кирсана Илюмжинова называется — Chess FIDE Fidelity (Шахматы, ФИДЕ, верность)."
6,"На своих страницах оба кандидата представляют свои команды, а также федерации, которые их поддерживают."
7,"Кирсана Илюмжинова поддерживают 40 шахматных федераций, включая Россию."
8,"Из западных стран, его поддерживает только Греция, так как Илюмжинов перевёл штаб-квартиру ФИДЕ в Афины и в его команду, в качестве первого заместителя, входит Георгиос Макрополус."
9,"Оба претендента указывают на поддержку Афганистана."
10,"По неподтверждённым данным, шахматная федерация Израиля поддержит Илюмжинова вместе с федерациями Ирака, Сирии, Иордании, Ливана и другими арабскими странами."
11,"Палестина поддерживает Кока."
12,"Поддержку Бесселю Коку выразили 30 шахматных федераций среди них почти все федерации стран западной Европы, также США."
13,"На Интернет странице Бесселя Кока перечислены следующие федерации, которые его поддерживают: • Афганистан • Андорра • Австралия • Бельгия • Канада • Чехия • Дания • Англия • Франция • Германия • Исландия • Ирландия • Лихтенштейн • Люксембург • Малави • Мальта • Монако • Намибия • Нидерланды • Нидерландские Антилы • Норвегия • Пакистан • Палестина • Парагвай • Словакия • Испания • Швейцария • Таиланд • Турция • США Поддержку Кирсану Илюмжинову выразили 40 шахматных федераций, среди них почти все бывшие республики СССР, арабские страны и африканские страны."
14,"На Интернет странице Кирсана Илюмжинова перечислены следующие федерации, которые его поддерживают: • Афганистан • Алжир • Аргентина • Азербайджан • Бахрейн • Барбадос • Бермуды • Чили • Коста Рика • Эквадор • Египет • Эль Сальвадор • Эфиопия • Грузия • Греция • Ирак • Иордания • Казахстан • Кувейт • Ливан • Ливия • Маврикий • Молдавия • Марокко • Нигерия • Панама • Катар • Россия • Сингапур • Судан • Суринам • Сирия • Таджикистан • Туркмения • Уганда • Объединённые Арабские Эмираты • Виргинские острова • Узбекистан • Йемен • Замбия"
