"sent_pos","source"
0,"8 Марта как Юрьев день Не дарите мне цветы !"
1,"( Почему я не люблю 8 Марта ) Ознакомившись с эмоциональным материалом молодого автора фонда Бёлля , редактор раздела « Корреспонденция » ещё раз отметила лукавую улыбку провидения : в борьбе за свои права женщины добились лишь учтивой галочки в календаре — и снова недовольны ."
2,"А значит , есть за что бороться !"
3,"Подвявшие мимозы , поникшие тюльпаны ..."
4,"Уставшие мужчины столпились как бараны ."
5,"И мнут в руках подарки , и комкают обёртки , и думают : « Когда же возьмут подарки тётки ?"
6,"» А ведь ещё ( вот свинство ) и речь толкать придётся ."
7,"А может , чмокать в щёчку ... « Ну вот , сейчас начнётся ... » Но невдомёк беднягам , что тёткам тоже гадко ... Кому же оно нужно , Восьмое это марта !"
8,"Каждый современный человек с детства знает , что 8 Марта — это Международный женский день , когда мужчинам всех возрастов предписано чествовать женщин опять - таки всех возрастов и « баловать » их днём отдыха от домашних обязанностей ."
9,"И праздник традиционно ассоциируется с чем-то весенним и светлым ( вероятно , потому , что выпадает на начало марта , когда уставшие от зимы люди радуются первому солнцу , а также потому , что он сопровождается дополнительным законным выходным ) ."
10,"Однако современный , лишённый всякой политической окраски Женский день мало похож на своего исторического « предка » , который отнюдь не может похвастаться такими радужными коннотациями ."
11,"Международный женский день своими корнями уходит в долгую борьбу женщин за участие в жизни общества наравне с мужчинами ."
12,"Считается , что всё началось в 1857 году « маршем пустых кастрюль » , когда в Нью-Йорке работницы текстильной промышленности собрались на манифестацию с требованиями равной с мужчинами оплаты труда и улучшения рабочих условий ."
13,"В 1910 году Клара Цеткин предложила учредить Международный женский день 8 марта в честь « марша пустых кастрюль » ."
14,"Только вот собственно праздником этот день не был ."
15,"Имелось в виду , что женщины в этот день будут привлекать общественное внимание к своим проблемам , устраивая манифестации и митинги для борьбы с неравноправием и дискриминацией ."
16,"В России история Женского дня начинается с 1913 года , и только в 1965-м 8 Марта официально становится выходным днём и начинает приобретать современные черты ."
17,"Сегодня большинство воспринимает 8 Марта как своеобразный второй этап 23 Февраля , когда традиционно поздравляют всех мужчин ."
18,"Так и существуют в календаре Мужской и Женский день как « дань обоим полам » ( по выражению одного из студентов , среди которых Ивановский центр гендерных исследований проводил опрос , пытаясь выяснить отношение молодёжи к этим праздникам ) ."
19,"Для многих и 23 Февраля , и 8 Марта — это ритуальный обмен подарками , который мало влияет на взаимоотношения ( хотя может их испортить , если ритуал не соблюдён ) ."
20,"Некоторые из опрошенных не видят смысла в празднике 8 Марта , по крайней мере в нынешнем варианте ."
21,"И воспринимают его как ещё один законный выходной , правда « предусматривающий дарение подарков » и распевание дифирамбов прекрасной даме ."
22,"И ещё как повод собраться всей семьёй ."
23,"То есть смысл праздника изменился кардинально — парадокс , но от дня борьбы женщин за равные с мужчинами права мы пришли фактически к празднованию на государственном уровне дня сексистских стереотипов ."
24,"Да и само существование Женского дня календаря в современном виде подчёркивает его сексистский характер ."
25,"И 23 Февраля не оправдание : День защитника Отечества по сути гендерно нейтральный праздник , касающийся именно тех , кто служил в армии , независимо от пола , поскольку даже в нашей армии служат не только мужчины , а многие из них в ней никогда и не служили ."
26,"За что я не люблю 8 Марта ?"
27,"За то , что в этот день тебе особенно настойчиво напоминают о твоём « месте » , освобождая на целый день ради праздника от домашних дел ."
