"sent_pos","source"
0,"Оскаровская гонка уже началась Почти все страны уже выдвинули своих кандидатов в номинацию «Лучший иностранный фильм»."
1,"Всего три дня осталось на раздумья тем странам, которые ещё не определились, какую национальную картину стоит выдвинуть на «Оскар»."
2,"1 октября заканчивается срок подачи заявок на участие в номинации «Лучший иностранный фильм»."
3,"Состав лонг-листа уже практически известен."
4,"Правда, российской картины в нём пока нет."
5,"Известно, что Канаду представляет фильм «Я убил свою мать» 23-летнего Ксавье Долана."
6,"Эта картина о сложных взаимоотношениях 16-летнего подростка-гея со своей матерью уже завоевывала три премии в Каннах."
7,"Бельгия выдвинула ленту «Несчастливцевы» Феликса ван Гронингена о мальчике, выросшем в семье алкоголиков."
8,"Сербия выбрала картину любовную драму «Здесь и там» Дарко Лунгулова."
9,"Болгария представит философский фильм «Мир велик, а спасение поджидает за углом» Стефана Команадарева."
10,"Армения выдвинула на получение «Оскара» документальную ленту Рубена и Ваге Геворкянцев «Племянник волшебника»."
11,"От Литвы в конкурсе примет участие лента «Водопой» Гитиса Лукшаса, от Словении «Пейзаж номер два» Винко Модерндорфера, от Польши «Перемена» Бориса Ланкоча."
12,"Данию представит триллер «Ужасно рад» Генрика Рубена Генца, Португалию «Обречённая любовь» Марио Баррозо, Мексику «Задний двор» Карлоса Карреры, Индию фильм «Фабрика Харишчандрачи» Пареша Мокаши, Шри-Ланку картина «Цветы неба» Прасанны Витхананаге, Тайланд «Лучшие во времени» Йонгута Тонгкотуна."
