"sent_pos","source"
0,"Антон Носик: «Не нужно маскироваться под жёлтую прессу» О различиях между трафикогенерацией и честной рекламой информационных изданий — Около недели назад Infox.ru написал заметку о том, что газета «Взгляд» больше не ротируется на news.mail.ru, а её место занял BFM.ru."
1,"Это правда?"
2,"— Вас не удивило, что в этой статье не представлено комментария ни от BFM.ru, ни от Mail.Ru и ни слова о том, что не удалось связаться с представителями обеих компаний?"
3,"Это не заговор, а просто фантастически непрофессиональная работа с информацией."
4,"Примерно неделей ранее на Slon.ru был текст о том, что «Взгляд» действительно перестал покупать трафик на Mail.Ru, и я там этот вопрос комментировал — сказал, что это внутреннее решение «Взгляда», что и где покупать."
5,"Что касается размещения заголовков в разделе «Новости» на портале Mail.Ru, то там долгосрочные рекламные контракты, заключённые разными изданиями на долгие сроки вперёд: «Коммерсантом», «Ведомостями», Slon.ru, Infox.ru."
6,"У BFM.ru такого контракта с Mail.Ru никогда не было, нет сейчас и не планируется в будущем — вне зависимости от того, откуда и куда ушёл «Взгляд»."
7,"Увязка между рекламной политикой «Взгляда» и нашей рекламой — плод чьего-то воспалённого воображения."
8,"Что касается всего портала Mail.Ru как рекламной площадки, то у радиостанции Business FM есть с ними некоторый бартер, который оплачивается не рекламой радиочастоты 87,5 FM, а рекламой нашего интернет-проекта."
9,"Только это новость из 2008 года."
10,"Когда мы запускали проект BFM.ru, в рамках радийного бартера мы открутили на Mail.Ru многомиллионный бартер графическими баннерами с нашими новостными заголовками (не на news.mail.ru, а на всех разделах портала)."
11,"В прошлом году Mail.Ru отмечал своё десятилетие и они хотели постоянного присутствия на радио."
12,"Там было порядка 40 млн показов."
13,"А текущие отношения с порталом у нас весьма скромные — не только по их, но и по нашим масштабам."
14,"Наш бренд-менеджер действительно договорился о присутствии наших заголовков на news.mail.ru, но оно совершенно мизерное, не сопоставимое ни с объёмами, которые потреблял «Взгляд», ни с нашей посещаемостью."
15,"— Почему Infox так откровенно наврал?"
16,"— У меня есть предположение."
17,"Поскольку Infox крупнейший покупатель трафика на Mail.Ru (у него там в два раза больше показов, чем у любого другого сайта), для них это очень важная тема."
18,"Видимо, то, что я писал о покупке трафика в своём ЖЖ год назад, так запало им в душу, что они посчитали этот вопрос главной темой современности."
19,"Возможно, у кого-то в коммерческом отделе свет клином сошёлся на моей фразе годичной давности."
20,"Но они вложили в неё какой-то свой смысл."
21,"Последствия этого мифа, вброшенного Infox, — что я будто бы занял место Рыкова — я расхлёбываю до сих пор."
22,"Многие пришли меня поздравлять, другие хотели узнать подробности, третьи спрашивали то же, что и вы: написано, что BFM.ru занял место «Взгляда», а я нигде не могу найти вашего баннера."
23,"Когда меня первый раз пришли поздравлять — тогда я и узнал, что прославился благодаря Infox."
24,"Я сразу же полез на Mail.Ru, но не нашёл там наших заголовков."
25,"Тогда я пошёл к нашему бренд-менеджеру, и он мне сказал, что никакого контракта, аналогичного рыковскому, у нас нет."
26,"Второй мыслью было, что кто-то из наших партнёров по обмену таким образом, через Mail.Ru, отдаёт нам долги."
27,"Потом уже, когда подняли все наши договорённости, нашёлся человек в промоотделе, ответственный за баннеры на Mail.Ru, и он рассказал, что действительно какая-то ротация и количество показов есть, но это несравнимо со «Взглядом»."
28,"Получилось так, что в момент выхода проектов Рыкова с площадки Mail.Ru там образовались излишки и в ротации вылез наш заголовок по радийному бартеру."
29,"Но обнаружить его было непросто — на то и ротация."
30,"При этом я хочу вам сказать, что у меня нет никаких проблем с рекламированием статей BFM.ru и заголовков на новостном ресурсе под названием news.mail.ru."
31,"Прошлогодние скандалы, связанные с покупкой трафика, были вообще не про это."
