"sent_pos","source"
0,"Космос В воскресенье, рано утром 9 апреля, в Казахстане приземлился «Союз ТМА-7»."
1,"На Землю вернулись три космонавта: Валерий Токарев (Россия), Уильям Макартур (США) и Маркос Понтес (Бразилия)."
2,"Регулярное событие, которое происходит два раза в год: весной и осенью, никаких сенсационных открытий и исследований там, на станции, не происходит."
3,"Будничная, повседневная работа: починка генератора кислорода, поиск куда-то запропастившихся сухих кислородных патронов, встреча, перегрузка и отправка грузовиков «Прогресс»."
4,"Две перестыковки «Союза ТМА-7»."
5,"Два выхода в открытый космос."
6,"Самое интересное, во всём полугодовом дежурстве в космосе, это выброс использованного скафандра во время второй прогулки."
7,"Интересно, как долго скафандр, с передатчиком за пазухой, продержится на орбите?"
8,"Об этом скафандре и сообщали все мирровые новостные агентства не перегонки."
9,"Ну, и конечно, первый бразилец в космосе, который показал всему миру футболку сборной Бразилии в космическом интерьере."
10,"Космонавты вернулись на Землю Все дружно отметили 45-летие полёта Гагарина и 25-летие первого полёта «Колумбии»."
11,"С Гагариным всё уже давно ясно."
12,"Его полёт уже далёкая история."
13,"Он выполнил свою роль и ушел в историю."
14,"Полёт Гагарина был и пропагандой, и риском, который оправдался, и прорывом человечества в космос."
15,"С шаттлами не всё так ясно."
16,"После гибели «Колумбии» 1 февраля 2003 года, шаттлы никак не могут вернуться к нормальным полётам."
17,"Это выглядит так, что о безпроблемных полётах шаттлов говорить больше не приходится."
18,"NASA пытается успеть, хотя бы в минимальной степени, достроить МКС перед окончательным списанием всех шаттлов."
19,"Шаттлы не оправдали всех надежд, которые на них возлагались."
20,"Планировалось, что шаттлы должны были совершать до 20 полётов ежегодно, каждый шаттл должен был совершить около 100 полётов."
21,"Сегодня самое большое количество полётов совершил «Дискавери» — 31 полёт."
22,"В общей сложности пять шаттлов совершили 114 полётов."
23,"Два шаттла потерпели катастрофу, погибли четырнадцать астронавтов."
24,"С другой стороны, шаттл — это самый большой космический корабль, который может выводить на орбиту до 20 тонн полезных грузов, с помощью шаттлов были выведены на орбиту множество спутников, проведено множество научных и технологических экспериментов."
25,"Впервые с помощью шаттла американцы ремонтируют спутники на орбите и возвращают неисправные спутники с орбиты на Землю."
26,"С помощью шаттла составлена трёхмерная карта поверхности Земли."
27,"С помощью шаттла был выведен на орбиту и поддерживался в рабочем состоянии Космический телескоп Хаббл."
28,"Недавно глава NASA Майкл Гриффин сказал, что проект «Спейс Шаттл» и МКС были ошибочным направлением."
29,"Американцы возвращаются к более простым космическим системам."
30,"Политика Италия Два дня выбирали итальянцы новый парламент, выбирали так, что Премьер-министр Берлускони до сих пор не может успокоиться."
31,"Обидно, проигрывать, если голосовали около 50 миллионов избирателей, а победитель определяется разницей в несколько десятков тысяч."
32,"Но, что поделать, демократия есть демократия."
33,"Выявляется тенденция выборов с мизерным преимуществом одной из сторон."
34,"Все ещё помнят президентские выборы в США 2000 года, когда Буш победил Гора с очень шатким преимуществом."
35,"Выборы в Бундестаг Германии прошлого года, хотя и выявили победителя, но этот победитель не был в состоянии единолично сформировать правительство."
36,"Для создания правительства правым и левым пришлось объединяться."
37,"Всё-таки Проди Белоруссия В Белоруссии нет проблем с демократией и нет проблем с победителем."
38,"Неприятности только от европейской демократии."
39,"Европа огорчила вновь переизбранного президента Белоруссии, отказав ему в гостеприимстве."
40,"Лукашенко и ещё 30-и его служащим запрещён въезд на территорию стран Европейского союза."
41,"Запрет будет действовать один год."
42,"Последнему диктатору Европы закрыт путь на Запад."
43,"Лукашенко запрещен въезд в страны ЕС Иран Всю неделю курсировали слухи о новых иранских чудо ракетах и торпедах, которые могут уничтожать любые корабли и подводные лодки, оставаясь при этом невидимыми для любых радаров и сонаров."
44,"К концу недели, возмутитель всеобщего спокойствия, президент Ирана Махмуд Ахмадинежад объявил свою страну ядерной державой."
45,"В ответ средства информации раскрывают планы Америки о превентивном ударе по ядерным объектам Ирана."
46,"Кондолиза Райс опровергает эти слухи и требует от ООН грозной резолюции против Ирана, вплоть до военного вмешательства."
47,"С начала года Иран ведёт переговоры с Россией о возможном обогащении урана в России, для мирных нужд Ирана."
48,"Но, эти переговоры не приводят ни к чему."
49,"Одновременно, прикрываясь этими переговорами, Иран продолжал работы по обогащению урана."
50,"Россия поставлена в неловкое положение, вроде как хотели лучше, а получилось, так, что на время переговоров, прикрывали Иран от санкций со стороны Америки."
51,"А иранцы использовали это время для обогащения урана."
52,"Теперь вновь в игре аль-Барадеи."
53,"Иран согласен и на переговоры, и на контроль со стороны МАГАТЕ, но обогащать уран будет и дальше."
