"sent_pos","source"
0,"Лондонцы сделали мюзикл «Обамамания» Мюзикл о закулисье прошлогодней президентской кампании привлек много внимания."
1,"Мюзикл будет идти каждый день до 21 марта в театральном пабе «Курица с цыплятами» в лондонском районе Ислингтон."
2,"Главные герои мюзикла — 11 сотрудников предвыборного штаба Обамы."
3,"Они беззаветно преданы своему лидеру и стараются вывести его на первое место в предвыборной гонке."
4,"«Обама не выходит у меня из головы», — поют они."
5,"Сам Обама на сцене не появится."
6,"Но в конце спектакля все участники наденут маску с улыбающимся лицом президента, что обозначает живущую в каждом из них частицу Обамы."
7,"«Кто справится с ролью Обамы?"
8,"Никто."
9,"И к тому же это отвлечет внимание от той темы, которую я хотел показать в своей пьесе», — рассказал живущий в Великобритании американский драматург Тедди Хейес."
