"sent_pos","source"
0,"Создана программа для выявления депрессивных блогеров Результаты тестирования программы на 80% совпадают с оценками профессиональных психотерапевтов."
1,"Израильские учёные из Университета Бен-Гуриона разработали программу для обнаружения нездоровых блогеров."
2,"Таких пользователей новое ПО будет вычислять, анализируя уровень депрессивности записей в блогах."
3,"Технология будет находить в сообщениях такие слова и предложения, а также описания и метафоры, которые свидетельствуют о психически и эмоционально неуравновешенном состояние автора."
4,"Данная разработка может быть востребована у медэкспертов, которым нужно подтверждение в том, что их пациент нуждается в лечении или консультации."
5,"Люди, попавшие в зону риска, смогут получать советы о том, как восстановить душевное равновесие."
6,"Как сообщает «Лента.ру», выводы программы на 80% совпадают с мнением профессиональных психотерапевтов."
7,"Власти Израиля сразу подчёркивают, что для анализа блогов эксперты обязаны получить разрешение блогеров."
8,"Руководство страны рассчитывает, что программа, созданная на средства Минобороны, будет пользоваться успехом в США, поскольку это государство отличается традиционно высоким уровнем депрессии среди граждан."
9,"Отметим также, что предыдущая разработка израильских учёных создала устройство автоматического определения сарказма."
