"sent_pos","source"
0,"В Госдуме предложили отменить эмбарго на ввоз продуктов Авторы инициативы считают, что запрет на поставки продуктов противоречит пункту 1 статьи 34 Конституции РФ."
1,"Законопроект, предусматривающий отмену ограничений на импорт продовольствия из стран, которые ввели санкции против России, внесен на рассмотрение Госдумы РФ, пишет Лента.ру."
2,"Авторами законопроекта являются члены «Справедливой России» Валерий Зубов, Сергей Петров, Сергей Доронин и Михаил Сердюк, а также независимый депутат Дмитрий Гудков."
3,"Как считают авторы инициативы, запрет на поставки продуктов противоречит пункту 1 статьи 34 Конституции РФ, согласно которой каждый гражданин имеет право на свободное использование своих способностей и имущества для предпринимательской деятельности."
4,"«Запрет на ввоз доброкачественных, безопасных для здоровья граждан продуктов привел к ограничению конституционного права российских предприятий на экономическую деятельность, так как для многих предприятий не существует экономически разумной альтернативы тому сырью, на использовании которого построены их технологические циклы», — говорится в пояснительной записке к законопроекту."
5,"В то же время, согласно статье 55 Конституции, права и свободы гражданина могут быть ограничены только в целях защиты основ конституционного строя, нравственности, здоровья, прав и законных интересов других лиц, обеспечения обороны страны и безопасности государства, отмечают авторы законопроекта."
6,"Таким образом, как считают авторы инициативы, Конституция допускает ограничение прав и свобод только федеральным законом, тогда как ограничения на импорт продовольствия были введены на основании нормативного акта."
7,"В связи с этим они предлагают внести изменения в законы «О специальных экономических мерах» и «О безопасности», прописав в них процедуру применения специальных экономических мер путем принятия федеральных законов, а не подзаконных актов."
8,"В августе 2014 года Россия объявила о запрете на поставки мясной продукции, овощей и фруктов, морепродуктов и охлажденной рыбы, молока и молочных продуктов из стран Евросоюза, Австралии, Канады, Норвегии и США."
9,"Эмбарго стало ответом на санкции, направленные против России в связи с ситуацией на востоке Украины."
10,"Позднее список пополнился живой рыбой."
11,"В то же время из него убрали мальков лосося и форели, безлактозное молоко и молочную продукцию, семенной картофель, сахарную кукурузу, горох, БАДы и витамины."
12,"О том, как влияют санкции на экономику России, читайте в статье Частного корреспондента «Санкции: промежуточный финал»"
