"sent_pos","source"
0,"Юбилей Олега Басилашвили: он воплотил шарм застойного времени Олегу Басилашвили исполняется 80 лет."
1,"Этого актёра можно назвать поэтом социальных трендов застойного времени."
2,"Басилашвили умудрился стать всенародно любимой звездой, воплощая этически амбивалентных интеллигентов."
3,"Он прославился, играя субъектов скользких, как Самохвалов из «Служебного романа», или даже гнусных, вроде Мерзляева из фильма «О бедном гусаре замолвите слово»."
4,"Басилашвили заставлял нацию узнавать себя и в талантливом переводчике, и в бездарном чиновнике — он доказывал, что надо «благодарно принимать» все свойства человеческой природы."
5,"Все люди, все человеки, все не идеальны."
6,"Сыграв Бузыкина в «Осеннем марафоне» и Рябинина в «Вокзале для двоих», Басилашвили создал апологию душевной невнятности, даже личностной аморфности."
7,"Играл бы тех же самых персонажей какой-нибудь другой актёр, их жизненные позиции и сами их носители выглядели бы просто омерзительно."
8,"А Басилашвили заставлял нас умиляться своим героям."
9,"И мы с лёгкостью прощали им те качества, которые, скорее всего, нас смертельно оскорбили бы в реальной жизни, в реальном контакте."
10,"Но на экране появлялся Олег Басилашвили — со своим интеллигентным носом, чуть подслеповатыми и чуть бегающими глазами, с любезным до приторности видом, с чуть барственной самовлюблённостью или, напротив, неуверенностью, похожей на онегинскую хандру."
11,"С неповторимыми интонациями человека, который умеет хорошо и много ораторствовать, что делает непринципиальным отсутствие больших интересных мыслей."
12,"В его советских служащих проглядывали генетические типы дореволюционного времени и культуры."
13,"Недаром же он актёр БДТ, играл Андрея Прозорова в «Трёх сёстрах», Войницкого в «Дяде Ване», Хлестакова в «Ревизоре»."
14,"Одной из недавних театральных ролей, отмеченных призами, стал князь К. в «Дядюшкином сне» по Ф.М."
15,"Достоевскому."
16,"В рядовых персонажах Басилашвили советского времени жила подспудная уверенность в том, что человек создан не для работы и что каждый имеет право на маленький кусочек «неба в алмазах» здесь и сейчас, при жизни."
17,"Поэтому в правоверном советском детективе «Возвращение «Святого Луки» Лоскутов Басилашвили был подан как сильно оступившийся человек — социальная порочность прямо читалась на его инженерской физиономии."
18,"В то же время персонажи этого актёра смотрелись как заядлые конформисты, интуитивно срастающиеся с любыми обстоятельствами и всегда знающие правильные ответы."
19,"Поэтому в грустных авторских комедиях и драмах Эльдара Рязанова, Георгия Данелии, Карена Шахназарова его героев иронично и снисходительно подавали как полноценных членов общества."
20,"В «Служебном романе» значимым нюансом в образе Самохвалова был тот беззапиночный артистизм, с каким он отрицательно отвечал на досужий вопрос о том, смотрел ли он за границей стриптиз."
21,"Даже если бы Самохвалов и смотрел стриптиз, то он бы его не смотрел — и не потому, что это действительно не очень интересно, а потому, что советский служащий за границей должен блюсти облико морале."
22,"Для самосохранения на родине."
23,"Хотя Басилашвили отобразил вечный человеческий тип, кажется, что он остался в прошлом."
24,"Сменилась эпоха."
25,"Сейчас люди, аналогичные советским героям Басилашвили, выглядят иначе."
26,"Прозаичнее, прагматичнее, динамичнее."
27,"Примитивнее, скучнее, злее."
28,"Ординарнее."
29,"Басилашвили же доказывал всем видом своих героев, что человек всегда интересен, даже если он по большому счёту плох и пуст."
30,"Олег Даль сыграл плохого хорошего человека — и сыграл не только в экранизации Иосифа Хейфица чеховской «Дуэли», а и во многих других ролях."
31,"Андрей Миронов, Олег Янковский, Александр Калягин, даже Михаил Ульянов в «Частной жизни», даже Олег Борисов в «По главной улице с оркестром», даже Сергей Шакуров в «Личном деле судьи Ивановой» играли плохих хороших людей."
32,"Их обаяние било через край."
33,"Их личностная неповторимость заслоняла все их грехи."
34,"Мы всегда сочувствовали им, а не тем, кому они причиняли боль."
35,"Олег Басилашвили гениально играл хороших плохих людей."
36,"Хороших недобрых людей."
37,"Талантливых нечестных людей."
38,"Очаровательных неталантливых людей."
39,"В «Курьере» его Кузнецов, отец Кати, — неординарно ординарная личность."
40,"Басилашвили показал, что значит обаяние вялости и апатии."
41,"Его можно назвать символом позднесоветской моды на слабовольных мужчин, чей шарм — в способности любить слабо, но с каким-то мучительным магнетизмом."
42,"В этом брезжило что-то неуместно и не по возрасту гамлетическое."
43,"И «Осенний марафон», и «Вокзал для двоих» — своего рода вариации на темы постаревшего Гамлета, бросившего думать о вселенской справедливости, но не способного перестать морочить голову женщинам и заставлять их жить его унынием, его тоской, его усталостью от жизни."
44,"Олег Басилашвили эстетизировал свойства рядового индивида последних полутора десятилетий советского уклада, который, хотя и принято именовать застоем, был периодом окончательной отмены советской концепции бытия и формирования нового человеческого материала, новой шкалы ценностей."
45,"Герои Басилашвили продемонстрировали как непреложную данность человека без свойств или с вечно неопределёнными, текучими и изменчивыми свойствами."
46,"Человека без глобальной сверхзадачи, без героических амбиций."
47,"Басилашвили создал героя постидеологического времени."
48,"Он показал, что происходит с человеком, когда государство перестаёт его мобилизовывать и отпускает жить как живётся, чувствовать так, как чувствуется."
49,"При самом беглом взгляде на героев Басилашвили становилось ясно, что социализм и советская идеология превратились в ритуал и риторику, а жизнь повернула в другое русло."
50,"Внесоветский человек просто терпеливо живёт в советских обстоятельствах, которые скоро сгинут."
51,"Внесоветский человек ещё не понял, что его ждёт в ближайшем будущем."
52,"Он в ситуации общественного «пересменка»."
53,"Современному телекино Олег Басилашвили необходим как исполнитель, рождающий длинный ряд ассоциаций, размыкающих тонкий слой современности с её коммерческим сериальным продуктом в сторону больших культурных традиций."
54,"В его постсоветском чиновнике Прохоренко из «Бандитского Петербурга», этаком престарелом любителе секса на рабочем месте, сквозят повадки дважды «бывших» — досоветских и советских негодяев при чинах."
55,"У Владимира Бортко Басилашвили сыграл в «Идиоте» генерала Епанчина, в «Мастере и Маргарите» — Воланда."
