"sent_pos","source"
0,"Зимнее трансфертное окно в европейском футболе закрылось в ночь на вторник 1 февраля."
1,"Сумма трат в английской футбольной Премьер-лиге этой зимой составила рекордные 320 млн долларов."
2,"За несколько часов до закрытия окна принадлежащий российскому миллиардеру Роману Абрамовичу клуб «Челси» приобрёл нападающего сборной Испании Фернандо Торреса, который в предыдущих 142 играх за «Ливерпуль» забил 81 гол."
3,"Соглашение с игроком подписано на пять с половиной лет, а стоимость трансферта составила рекордные для Великобритании $80,5 млн."
4,"По слухам, Торрес устал от «чёрной полосы» в «Ливерпуле», который в этом году вновь не в состоянии пробиться в верхнюю часть турнирной таблицы и выйти в Лигу чемпионов."
5,"Защиту «аристократов» должен усилить Давид Луис, прибывший в стан лондонской команды из португальской «Бенфики»."
6,"Сумма сделки составила $34,4 млн."
7,"Примечательно, что в тот же день «Челси» объявил о годовом убытке порядка $114 млн."
8,"Финансовые аналитики предупреждают, что даже несмотря на богатых владельцев и выгодные телевизионные контракты футбольным клубам нельзя закрывать глаза на экономическую реальность."
9,"В контексте британской экономики эксперты прогнозируют неизбежность корректировки футбольного курса."
