"sent_pos","source"
0,"Ни слова по-русски Английские разговорные клубы, или Джентльменское погружение в язык Что приходит вам в голову, когда вы слышите слова «Английский клуб»?"
1,"Декадентские ананасы в шампанском или жонглирование французскими булочками в стиле Берти Вустера?"
2,"В этой статье мы расскажем о модном и полезном времяпрепровождении последних лет."
3,"Впрочем, насколько оно полезно, решать вам."
4,"Английский клуб — это то самое место, где моя подруга познакомилась с будущим мужем."
5,"У них всё завертелось, как в телесериале: преуспевающему бизнесмену понравилась юная студентка."
6,"Из-за командировок он то и дело отсутствовал неделями, но в качестве извинений каждый раз преподносил девушке букет алых роз."
7,"Через пару месяцев, однако, влюблённый не смог вынести мысли об очередном расставании и взял её с собой путешествовать по Европам."
8,"Другой мой знакомый привычно ходит в это заведение уже два года — безо всяких романтических целей, просто пить пиво и тусоваться с друзьями."
9,"Только вот если в вашем воображении уже нарисовался старый добрый Английский клуб с Пушкиным, Баратынским и устрицами, то это совсем не он."
10,"Английский и любой другой, он же разговорный, он же «чат», он же «канверсейшн», клуб — сравнительно новый способ изучения иностранного языка, ставший особенно популярным в последние годы."
11,"Эта форма досуга совмещает в себе посиделки за чашкой чая (или чего-то покалорийнее) в классе или кафе, а то и вылазку в городской парк, с клубом знакомств и, главное, активной разговорной практикой."
12,"В Москве и Санкт-Петербурге разговорные клубы представлены в ассортименте: английский, немецкий, французский, испанский и другие, от двухсот до восьмисот рублей за занятие, подробная организационная информация на сайтах."
13,"Однако, не побывав на месте событий, сложно понять, как организован процесс этого самого клаббинга."
14,"Вот как работает это тайное общество."
15,"По вечерам или в выходной незнакомые между собой люди собираются в известном им месте и начинают беседовать на заранее выбранную тему."
16,"Главное условие: не проронить ни слова по-русски."
17,"Наказания за «я не понял», конечно, не последует, но атмосфера будет разрушена."
18,"Параллельно можно знакомиться, дискутировать, ругаться и шутить — всё в силу собственной языковой базы."
19,"Да, не очень радостно приходится в чат-клубах ярко выраженным интровертам, ведь смысл происходящего в том, чтобы включаться в разговор и активно высказывать своё мнение."
20,"Вероятно, поэтому многих хватает только на один урок, полный напряжённого молчания или страдальческих ответов на прямые вопросы других участников беседы."
21,"А между тем некоторые разговорные клубы предлагают попробовать свои силы и в жанре монолога: можно выступить с докладом."
22,"Для этого участники занятия заранее готовят рассказы-презентации на выбранные темы, а остальным предлагается задавать вопросы по окончании выступления, обязательно используя новую, только что усвоенную лексику."
23,"Ведь обогащение словарного запаса — одна из главных целей занятий, и проходит это самое обогащение весьма продуктивно: новые слова тут же вплетаются в контекст."
24,"Главное, чтобы было, что обогащать."
25,"Итак, незнакомые люди, подготовка докладов, вечер разговоров непонятно о чём... не лучше ли заставить друга обсудить на любимом иностранном действительно животрепещущую тему вроде личных проблем или покупки пылесоса?"
26,"Куда более приятно, неформально и продуктивно."
27,"Нет, не пойдёт?"
28,"Совершенно верно."
29,"Потому что тут появляется он, фактор, от которого зависит положительный результат: преподаватель."
30,"Преподаватель (желательно носитель языка и даже не русскоговорящий, чтобы не было искушения спросить его о чём-то на великом и могучем) выберет интересную всем тему, оценит уровень каждого ученика и разговорит молчунов."
31,"Он запишет ошибки каждого в блокнот и расскажет в конце занятия, кому и над чем надо поработать."
32,"Сведёт в шутку неловкую ситуацию, составит словарик важных слов, придумает лингвистическую игру и принесёт на занятие печенье."
33,"Если же он почему-то не совместит в себе все эти качества, то точно должен справиться с одним: хороший преподаватель мало говорит сам и вынуждает говорить учеников."
34,"Однако может случиться и так, что преподаватель окажется не совсем преподавателем, да и клуб — не совсем клубом."
35,"Такой безрадостный случай произошёл с моей подругой, когда она отправилась на занятие в популярный Английский клуб в самом центре Москвы."
36,"Маша хотела подучить английский и, если повезёт, встретить симпатичного, часто ездящего в заграничные командировки бизнесмена, и отправилась в кафе, где проходят встречи известного столичного клуба."
37,"Она сразу заметила, что в тот вечер там действительно все говорили по-английски!"
38,"Только вот присутствующие (а было их под четыре десятка) вовсе не пытались беседовать на общую тему, а преспокойно общались группками по два-три человека."
39,"Многие из них явно были иностранцами самого разного пошива, от офисных клерков до хиппи, но примерно столько же было и отечественных девушек, разговаривавших с этими самыми иностранцами или между собой."
40,"Заказав коктейль и усевшись за столик, Маша решила дождаться появления преподавателя, который организует разрозненную толпу в круглый стол, представит друг другу и задаст тему для живого общения."
41,"С некоторым опозданием он появился."
42,"Представился лектором, встал на самом видном месте, поздоровался со всеми... и начал рассказывать о своей работе."
43,"С сильным австралийским акцентом он поведал о том, как приехал в Россию и как здесь хорошо, а потом поблагодарил за внимание и слился с толпой."
44,"Короче, мало того, что Маша из его рассказа поняла меньшую половину, так за целый час, что она просидела в кафе, с ней никто не заговорил по-английски!"
45,"Конечно, потом оказалось, что выступить с речью или в качестве преподавателя там может каждый, а в другие дни есть шанс попасть на игру в «Мафию» по-английски или встретить живого оксфордского профессора, но одного неудачного опыта моей подруге хватило, и она разочаровалась в таком методе погружения в язык."
46,"Делаем выводы."
47,"Первый: раз на раз не приходится."
48,"Второй: если бы у Маши хватило силы духа или знания английского, чтобы заговорить с кем-нибудь в том кафе, её вечер прошёл бы веселее."
49,"Впрочем, совсем иначе сложились отношения с разговорным клубом у моей подруги из Питера."
50,"Петербурженка Надя посещает Английский клуб уже два года, готовит доклады, читает материалы для подготовки к теме, работает над домашними заданиями."
51,"У них в клубе тоже «текучка кадров», но есть и ядро неизменных посетителей, среди которых и студенты, и даже люди предпенсионного возраста."
52,"Преподаватели за это время менялись, были и те, кто ответственно готовился к занятиям, и те, что норовили рассказывать о себе и не исправлять чужих ошибок, но со временем «старожилы» клуба научились направлять разговор в нужное русло, да так хорошо, что, похоже, уже справляются без вмешательств гуру, то есть носителя языка."
53,"В чём смысл этого хобби для хорошо образованной и в общем вполне успешной барышни из Санкт-Петербурга?"
54,"По её словам, в поддержании языка на должном уровне, в расширении кругозора и обогащении словарного запаса."
55,"Но есть у Нади и ещё одна, главная цель: сломать языковой барьер."
56,"Дело серьёзное."
57,"Пожалуй, только тем, кто с детства проводит немало времени за границей, эта проблема не знакома, а остальные знают, как сложно перепрыгнуть через частокол грамматических форм и неуверенности в своей способности говорить на чужом языке."
58,"Я никак не могла решить, куда же пойти ломать свой барьер: в кафе к иностранцам или с термосом в парк, поэтому в итоге выбрала клуб, занятия которого проходят в офисе недалеко от моего дома."
59,"В классе меня встретил с улыбкой во все тридцать два огромных белых зуба мистер Блейк Дэвис."
60,"Он приехал в Москву четыре месяца назад с целью прожить здесь ровно год."
61,"Весной он вернётся в Университет штата Огайо, где напишет докторскую на тему «Особенности преподавания английского языка как иностранного русскоязычным студентам»."
