"sent_pos","source"
0,"Париж заявил о решении Каддафи уйти Тем временем ливийские чиновники называют дату начала голода в стране."
1,"Глава французского МИДа Ален Жюппе заявил о том, что ливийский лидер Муамар Каддафи готов добровольно отказаться от власти."
2,"Это стало известно от ведущих с Парижем переговоры посланников полковника."
3,"Последние уже также провели встречу с представителями США и Турции."
4,"«Мы принимаем посланников, которые говорят: «Каддафи готов уйти."
5,"Давайте обсудим это»."
6,"Уже стоит вопрос не о том, уйдёт ли он в принципе, а о том, когда и как», — цитирует министра «Лента.ру»."
7,"Жюппе, однако, подчеркнул, что он не верит в спонтанный уход Каддафи, и добавил, что Франция должна и дальше оказывать давление на ливийский режим военными методами."
8,"Тем временем министр сельского хозяйства страны Абдель Магид аль-Гауд заявил о том, что в Ливии через три месяца будет ощущаться нехватка еды и воды."
9,"Дело в том, что в условиях гражданской войны в стране собрано лишь 20% урожая."
10,"Это связано в том числе и с нехваткой топлива."
11,"Согласно предварительным оценкам, в этом году в Ливии будет собрано всего 300 тыс. тонн зерна."
12,"И это притом, что до сих пор эта североафриканская страна только на импорт отправляла до миллиона тонн зерна ежегодно."
13,"В Триполи также считают, что в течение трёх месяцев может отказать электростанция, расположенная на территории повстанцев и снабжающая завод, обеспечивающий 70% населения страны водой."
