"sent_pos","source"
0,"США и Россия придумали альтернативу «нормандской четверке» по Украине Но «нормандский формат» остается в силе."
1,"Москва не видит необходимости расширять «нормандский формат» для урегулирования конфликта на Украине, но не против подключения США к процессу на двусторонней основе."
2,"Об этом заявил замглавы российского МИДа Григорий Карасин."
3,"По словам дипломата, Москва и Вашингтон договорились установить двусторонний диалог для разрешения украинского кризиса."
4,"«Форматы уже все есть — есть «нормандский формат», есть Контактная группа, сейчас после встречи [с Нуланд] мы договорились установить двусторонний диалог по этой теме, так что все это органично должно дополнять друг друга», — цитирует РБК Карасина."
5,"Формат «нормандской четверки» предполагает переговоры на уровне руководства четырех государств — России, Украины, Франции и Германии по урегулированию ситуации на востоке Украины."
6,"Говоря о сроках возможной встречи в «нормандском формате», Карасин отметил, что все будет зависеть от развития ситуации."
7,"На 22 мая назначена первая встреча рабочей подгруппы по политическому урегулированию, на этот же день намечена встреча самой Контактной группы, пояснил он."
8,"Накануне итоги поездки помощника госсекретаря США Виктории Нуланд в Москву прокомментировал американский госдепартамент."
9,"Представитель госдепа Джефф Раттке заявил, что, несмотря на попытки Нуланд активно дать ход исполнению этих договоренностей, прорыва, о котором можно было бы сообщить, пока нет."
10,"После встречи с министрами иностранных дел НАТО в Анталье Нуланд отправилась в Киев на встречу с руководством страны, напомнил Раттке, затем последовала встреча в Москве."
11,"Нуланд прибыла Москву с однодневным визитом в понедельник и встретилась с заместителями министра иностранных дел России Сергеем Рябковым и Григорием Карасиным."
12,"Как рассказала сама Нуланд журналистам в резиденции американского посла в Москве, с Рябковым и Карасиным она говорила «о развитии того задела, который был сделан в Сочи»."
13,"В Сочи 12 мая состоялись длительные переговоры госсекретаря США Джона Керри с министром иностранных дел Сергеем Лавровым, а потом четырехчасовая беседа с президентом Владимиром Путиным."
14,"Особенно подробно, по словам Нуланд, в Москве она говорила о том, «как США могут оказать поддержку в выполнении минских договоренностей, поддержать стороны переговоров — Россию, Украину и ОБСЕ»."
15,"При этом она отметила, что США не являются участниками «нормандского формата» и не входят в состав Трехсторонней контактной группы, представители которой в Минске ведут переговоры с представителями ДНР и ЛНР."
