"sent_pos","source"
0,"Не убудет Евкуров просит Грефа, Прохорова и Абрамовича проинвестировать Ингушению."
1,"Глава Республики Ингушетии собирается обратиться к руководителю Сбербанка Герману Грефу и миллиардерам Роману Абрамовичу и Михаилу Прохорову с просьбой вложить средства в возглавляемый им регион."
2,"По словам Юнус-бека Евкурова, сегодня поток инвестиций в Ингушетию настолько мал, что он, как глава республики, просто не видит других путей для привлечения дополнительных денег, кроме как просьбу «по-человечески» помочь в развитии региона."
3,"«Конечно, я планирую в ближайшее время посетить президентов крупных компаний и просто попросить помочь."
4,"Попросить даже в ущерб себе создать в этой республике предприятия."
5,"То есть руководитель крупной компании должен серьёзно рассматривать в качестве потенциальных регионов для инвестиций не только Урал, Сибирь, но и республики Северного Кавказа», — цитирует Евкурова NEWSru.com."
6,"По словам главы Ингушетии, он нанесёт визит главам всех крупных компаний."
7,"«И в «Газпром», и в ЛУКОЙЛ, и в Сбербанк к Герману Оскаровичу Грефу, которого я очень сильно уважаю."
8,"Планирую повстречаться с Романом Абрамовичем по этому поводу."
9,"Мне хочется по-человечески попросить их, подойти к ним, если хотите, не по-государственному."
10,"В республике ценные породы деревьев, чистейшая вода, возможность для организации швейных цехов, пожалуйста, создайте, поставьте и давайте вместе работать."
11,"Вот сейчас с китайскими компаниями разговариваем, они рассматривают вариант строительства цеха у нас по производству запчастей для своих автомобилей."
12,"Тем для сотрудничества действительно много, их просто необходимо подтолкнуть к этому."
13,"Общаться нужно со всеми — просто пообщаться, поговорить, и где-то подскажут, где-то помогут."
14,"Жить только своим мирком, конечно, тяжело», — сказал глава Ингушетии."
