"sent_pos","source"
0,"Нудистам выделили тропу для походов в Германии Германское общество идёт все дальше и дальше по пути либерализации и удовлетворения прав нетрадиционных меньшинств."
1,"Согласно сообщению информагенства Би-би-си, в стране выделили и практически завершили оборудование тропы для любителей передвигаться нагишом."
2,"Так что весной 2009 года в горах Гарц, что в самом центре страны, появятся предупредительные надписи о том, что «если вы не хотите видеть людей без одежды, то вам следует прекратить движение в этом направлении»."
3,"Это не такая уж и короткая тропа."
4,"Длина её составляет 18 километров."
5,"Организаторы уверены, что теперь в Германии появится наплыв туристов-нудистов, желающих пройтись по тропе и эта отрасль оздоровительного туризма станет выходным бизнесом."
6,"Но пока это только предположения."
7,"На самом деле жизнь не так уж и празднично устроена."
8,"Оказывается, местные жители без оптимизма восприняли передовую новость, не проявляют радости по поводу очередной победы прав человека."
9,"Хайнц Людвиг, менеджер этой самой оздоровительной тропы сетует: «некоторые люди против, эта идея не получила прямой поддержки местного населения»."
10,"Вознимает естественный вопрос: почему ""некоторые"" люди"" живут вроде бы в Европе, а мыслят... Теперь в Германии есть тропы на разные вкусы: хочешь идти тропой религиозного паломника — иди, хочешь тропой нудиста — иди."
11,"Главное сделать так, чтобы эти тропы не пересекались."
12,"Но это уже - дело техники."
