"sent_pos","source"
0,"Библиотека на колёсах Теперь жители отдалённых сёл и деревень без собственных библиотек смогут воспользоваться услугами библиомобиля."
1,"1000 наименований книг, 200 дисков, компьютер, сканер, принтер, копировальное устройство — такой функциональный набор будет помещён в специальные мобильные комплексы информационно-библиотечного обслуживания, которые будут разъезжать по просторам страны."
2,"Инициатором проекта для сёл и деревень, в которых нет постоянной библиотеки, выступило Министерство культуры Российской Федерации, сообщает Pro-Books.ru со ссылкой на журнал «Книжная индустрия»."
3,"Исполнителем государственного заказа стал фонд «Пушкинская библиотека»."
4,"Стоимость одного образца такой мобильной библиотеки составляет 6 млн рублей с годовым обслуживанием в 0,5 млн."
5,"Уже в 2010 году будут пущены в дорогу шесть библиомобилей, которые отправятся в Кострому, Архангельск, Вологду, Челябинск, Иркутск и Республику Коми."
6,"Они смогут предоставить населению не только услуги обычной библиотеки, включая книжный абонемент, но и обеспечить выход в интернет, помочь провести лекции, культурные мероприятия и даже видеоконференции."
7,"На данный момент в России насчитывается 36 тыс."
8,"сельских библиотек, но лишь 6 тыс."
9,"из них оснащены компьютерами и 2 тыс."
10,"располагают выходом в интернет."
11,"Так что, по замыслу организаторов, библиомобили могут стать отличными помощниками и альтернативой сельской библиотеке."
