"sent_pos","source"
0,"Алексей Иванов."
1,"Бестселлер как чудо Встречная полоса."
2,"Писатели подлинные и мнимые."
3,"Алексей Иванов vs. Ольга Славникова После Сорокина и Шарова, Прилепина и Лимонова, Проханова и Садулаева, Марины Палей и Татьяны Толстой на «Встречной полосе» два провинциала, завоевавших Москву: Ольга Славникова и Алексей Иванов."
4,"Земля-Сортировочная Алексей Иванов, как и всякий нормальный писатель, стремился к успеху."
5,"Его юные годы совпали с расцветом советской фантастики, расцветом не столько творческим, сколько коммерческим."
6,"Фантастикой увлекались миллионы."
7,"Дети читали Кира Булычёва, взрослые — Стругацких."
8,"Интеллектуалы смотрели «Сталкера» и «Солярис», подростки — «Гостью из будущего»."
9,"А потому молодые писатели, от Виктора Пелевина до Алексея Иванова, начали литературную карьеру именно с фантастики."
10,"Фантастические повести молодого Алексея Иванова были довольно скучными."
11,"Просторы Вселенной бороздили космические крейсера и катера, герои с характерными для поздней советской фантастики именами Навк, Дождилика, Милора, Аравиль, Бомбар мотались из галактики в галактику: «Вооружённые лучемётами механоиды ворвались в рубку «Ультара» ."
12,"Но Иванов опоздал на несколько лет."
13,"Он начал писать фантастику в то время, когда её перестали читать."
14,"Научную фантастику любят в тихие стабильные времена, когда не надо заботиться о хлебе насущном, а скучная офисная работа приносит деньги, но утомляет душу, и душа стремится в сказочные страны или футурологический мир какого-нибудь двадцать третьего века."
15,"Но в 1988 году, когда Иванов опубликовал в журнале «Уральский следопыт» свою первую повесть, стабильность называли застоем, а Виктор Цой требовал перемен."
16,"Космический воин с бластером в руке стал персонажем истории литературы."
17,"Иванов это понял только в 1991-м. В своей последней фантастической повести «Земля-Сортировочная» он посмеялся над стереотипами советской фантастики, над собственными экспериментами и вообще над уходящей эпохой."
18,"Эта лёгкая, остроумная, изящная повесть, одна из лучших у Иванова, тогда не стала фактом литературы, её опубликуют лишь спустя 15 лет, когда Иванова уже объявят «золотовалютным запасом страны» и «самым ярким русским писателем начала века»."
19,"Через тернии к славе В 90-е Иванов написал два «актуальных» реалистических романа, но ни «Общага-на-крови», ни «Географ глобус пропил» не заинтересовали издателей."
20,"То ли Иванов был слишком застенчив, то ли редакторы «толстых» журналов ему попадались сплошь ленивые и недобросовестные."
21,"Впрочем, выйди его «Географ», первоклассный психологический роман, в «Новом мире» или «Дружбе народов», Иванов, возможно, стал бы нормальным журнальным автором, получил известность в нескольких редакциях и литературных тусовках, переиздал бы роман в издательстве «Вагриус» тиражом в 3 тысячи."
22,"Самые точные «предсказания» делаются задним числом."
23,"До внезапного громкого успеха «Сердца пармы» ни критики, ни искушённые, расчётливые коллеги-писатели не могли и предположить, что книга о давно забытом всеми, кроме местных историков-краеведов, пермском князе Михаиле может иметь хоть какой-то коммерческий потенциал."
