"sent_pos","source"
0,"Россия остановила подачу электроэнергии в Белоруссию Возобновление поставок возможно только после перечисления денег."
1,"ОАО «Интер РАО ЕЭС» прекратило поставки электроэнергии в Белоруссию с 00:00 мск 29 июня 2011 года."
2,"Решение о приостановке поставок было принято после того, как в течение дня Белоруссия не произвела обещанных выплат в счёт погашения задолженности российской компании, сообщает РБК."
3,"Несколько дней назад белорусская сторона заверила, что готова рассчитаться с Россией по долгам за поставку электроэнергии до 28 июня."
4,"Об этом сообщил глава правительства Белоруссии Михаил Мясникович после того, как были проведены консультации министров экономики двух стран."
5,"Напомним, на 1 июня 2011 года задолженность Минска перед российской компанией «Интер РАО» составляла 1,5 млрд рублей."
6,"С 10 июня поставки электроэнергии «Белэнерго» были ограничены с 500 до 200 МВт."
7,"Ранее компания «Интер РАО» намечала полное прекращение поставки электричества в Белоруссию на 19 июня 2011 года."
8,"Однако после частичного погашения задолженности этот срок был перенесён на 27 июня."
9,"Председатель правления «Интер РАО» Борис Ковальчук прокомментировал ситуацию: «Уже поступили денежные средства порядка 600 млн рублей, то есть была погашена задолженность за март."
10,"Осталось 600 млн рублей за апрель, и подходит задолженность на май."
11,"Каждый неплатеж допускает возможность полностью отключить поставки электроэнергии»."
12,"Как ранее уже заявлял представитель «Интер РАО» Антон Назаров, возобновление поставок электроэнергии возможно только после перечисления денег."
