"sent_id","par_id","source","book_id","par_pos","sent_pos"
12466,3951,"Аксолометрические проекции",210,1,1
12467,3951,"Насколько правомерен плагиат , сцены грубого секса и при чём здесь Кортасар ?",210,1,2
12468,3952,"Главный литературный бестселлер этого года расколол Германию на два непримиримых лагеря .",210,2,1
12469,3952,"После того как выяснилось , что семнадцатилетняя Хелене Хегеманн многое скопировала из блога , дискуссия о её первом романе Axolotl Roadkill закипела с новой силой .",210,2,2
12470,3953,"Ни одна книга в Германии не вызывала таких длительных споров , как литературный дебют семнадцатилетней Хелене Хегеманн .",210,3,1
12471,3954,"Поражённые критики ведущих изданий сравнивали её книгу Axolotl Roadkill то с дебютом Франсуазы Саган , то с шаровой молнией .",210,4,1
12472,3954,"Они не отказались от своих слов ( как выяснилось в спецопросе , проведённом газетой Süddeutsche Zeitung ) и после того , как в книге нашли прямые заимствования из блога берлинского блогера Airen .",210,4,2
12473,3955,"« Сообщения с фронта Хелене Хегеманн » , как их давеча назвали в Die Zeit , продолжают поступать : едва ли не на лучшей сцене Германии ― в гамбургском Талиа - театре ― уже приступили к постановке спектакля по мотивам её романа .",210,5,1
12474,3956,"Начинала Хегеманн именно как драматург : в 2007 году на подмостках другого театра состоялась премьера её пьесы « Ариэль » , а в 2008-м на экраны кинотеатров вышел фильм « Торпеда » , который она сняла по своему сценарию , написанному , когда ей было четырнадцать лет .",210,6,1
12475,3957,"Фильм получил приз Макса Офюльса на кинофестивале в Саарбрюккене .",210,7,1
12476,3957,"Книга « Аксолотль , сбитый на дороге » выдвинута на главную премию Лейпцигской ярмарки .",210,7,2
12477,3957,"Обвинения Хегеманн в плагиате не заставили номинаторов изменить своё решение .",210,7,3
12478,3958,"Непрерывность луна-парков",210,8,1
12479,3959,"« … Меня утешает мысль о том , что , может быть , он напишет про нас , ― веря , что придумывает , напишет рассказ про аксолотлей … »",210,9,1
12480,3960,"Такими словами кончается рассказ Кортасара , герой которого каждый день ходит в зоопарк и там часами взирает на аксолотлей , пока в какой-то день не оказывается внутри аквариума , заключённый в тело одного или даже сразу нескольких личинок .",210,10,1
12481,3960,"Он смотрит оттуда на человека , который был им самим , как тот поворачивается и уходит .",210,10,2
12482,3961,"Вполне естественно , ещё до того , как я прочитал Axolotl Roadkill , первый вопрос , который захотелось задать её автору , ― это читала ли она рассказ Кортасара и не исполняет ли своей книгой желание « рыбки с золотистыми глазами » .",210,11,1
12483,3962,"Позже ― опять - таки , до того , как я прочёл книгу , но целый месяц , без преувеличения , ежедневно читал или просматривал в отделах культуры трёх главных немецких газет статьи о 17-летней Хелене Хегеманн , ― я как-то забыл о сигнификанте названия , такие там бушевали страсти в этих статьях и такие там то и дело намечались рокировки , что аксолотль как-то вылетел из головы .",210,12,1
12484,3962,"Разве что однажды я снова вспомнил о нём , когда оказалось , что блогер Airen , у которого Хегеманн списала несколько пассажей , уезжал на два года в Мексику , где нашёл свою вторую половину , после чего , кстати , перестал писать блог .",210,12,2
12485,3963,"Что-то шевельнулось в голове тихонько , как лапка аксолотля кисти Кортасара : Мексика ― как раз родина личинок , которые , как известно , не развиваются во взрослую особь .",210,13,1
12486,3964,"Именно поэтому у книги Хелене Хегеманн такое название , героиня где-то говорит об этом с предельной прямотой :",210,14,1
12487,3964,"« Я точно знаю , чего я не хочу .",210,14,2
12488,3964,"Я не хочу взрослеть » .",210,14,3
12489,3965,"Но это , что называется , промелькнуло в шуме , который стоял в голове от небывалого спора , месяц тянувшегося на страницах немецких « фейлетонов » , то бишь , разделов культуры , и больше вопрос « А читали ли вы Кортасара ? » у меня в голове не всплывал вплоть до того момента , пока я не прочёл последнюю страницу романа , где мать и дочь не то чтобы меняются местами ...",210,15,1
12490,3965,"Нет , забыл , ещё в одном месте , прочитав , как кто-то пересказывает « телегу » про маленьких рыбок , которых научились запускать в кровь , так что они плавают по сосудам живого человека …",210,15,2
12491,3965,"Я ещё один раз подумал о Кортасаре , и всё , больше никаких связей , разве что самый общий фон : бесконечные диалоги , цитаты , много музыки , только не джаза , но и не только техно , в саундтреке книги встречаются и Леонард Коэн , и Portishead , и другие ― я уже всех не вспомню .",210,15,3
12492,3966,"Не хочу взрослеть",210,16,1
12493,3967,"На прошлой неделе автор через день после своего 18-летия выступала в мюнхенском Литературном доме вместе с двумя другими главными номинантами премии Лейпцигской книжной ярмарки , а на следующий вечер ― соло в театре Каммершпиле .",210,17,1
12494,3968,"Я не пошёл ни туда ни сюда , но если бы и пошёл , то вряд ли бы спросил о Кортасаре .",210,18,1
12495,3968,"И не потому , что не читать Кортасара стыдно ; в Германии он , кстати , вообще не так известен , как в России , многие мои знакомые от меня же впервые услышали его имя .",210,18,2
12496,3968,"Притом что одна из них по профессии литературовед .",210,18,3
