"sent_pos","source"
0,"В США обсуждается военный вариант свержения режима Каддафи Сам ливийский лидер уверен, что его люди готовы умереть за него."
1,"Посол США в Организации Объединённых Наций Сьюзан Райс заявила о том, что в данный момент Вашингтон и НАТО обсуждают возможность военного решения вопроса свержения режима Муамара Каддафи, сообщает РБК."
2,"Райс также рассказала, что подобные переговоры США ведут и с другими союзниками."
3,"Как стало известно ранее, войска США перебрасываются в сторону границ североафриканского государства."
4,"В Пентагоне поясняют, что в сложившейся ситуации это необходимо."
5,"Правда, цели своих действий американцы не уточняют."
6,"Тем временем иранские СМИ уже сделали вывод о том, что переброска войск США к ливанским границам говорит о планах Пентагона начать военное вторжение на территорию страны для свержения режима Каддафи."
7,"Ранее Барак Обама призвал положить конец режиму М.Каддафи."
8,"И подчеркнул, что если слова «лидер нации» означают только использование политической силы с целью насилия над людьми, то этому лидеру нужно немедленно покинуть свой пост."
9,"Накануне сам лидер нации Муамар Каддафи выразил уверенность в том, что ливийский народ готов на смерть ради защиты главы государства."
10,"«Все мои люди любят меня и умрут, лишь бы защитить меня», — сказал Каддафи."
11,"Помимо этого, полковник заверил, что в столице Ливии Триполи не проходят никакие демонстрации с требованием его отставки и обстановка в городе абсолютно спокойная."
12,"На данный момент повстанцы контролируют несколько городов на востоке Ливии, в том числе и второй по населению город страны — Бенгази."
13,"Оппозиция готовится захватить Триполи."
14,"О революционных выступлениях в арабских странах, имевших место в последние недели, читайте в статье Частного корреспондента «Интернет и жизнь»"
