"sent_pos","source"
0,"Выступление итальянцев в России Единственный концерт в столице даст ансамбль солистов Королевского оперного театра Пармы."
1,"12 марта в Концертном зале им."
2,"П.И."
3,"Чайковского пройдёт выступление ансамбля солистов Королевского оперного театра Пармы (Solisti del Teatro Regio di Parma)."
4,"Парма — родина Артуро Тосканини, Корреджо, Пармиджанино и, конечно, Джузеппе Верди."
5,"Поэтому не случайно соотечественников великого композитора знают во всём мире, в том числе и в России — в 2009 году художественным руководителем в Teatro Regio di Parma был приглашён выдающийся российский дирижёр Юрий Темирканов."
6,"Программа московского концерта ансамбля солистов Королевского оперного театра Пармы составлена только из хитов — музыкальных шедевров Моцарта, Паганини, Беллини, Пьяццоллы и, конечно же, Верди."
7,"Концерт в зале им."
8,"П.И."
9,"Чайковского — возможность услышать вступление к «Аиде», увертюры к операм «Жанна д’Арк» и «Король на час», музыку из опер «Отелло», «Макбет», «Сицилийская вечеря» в исполнении музыкантов с родины великого композитора."
