"sent_pos","source"
0,"Японию снова трясёт Новое землетрясение произошло недалеко от города Мито."
1,"В Японии произошло мощное землетрясение магнитудой 6, эпицентр которого находился на расстоянии 82 км к юго-востоку от города Мито, сообщает РБК со ссылкой на Национальную геологическую службу США."
2,"Мито располагается на острове Хонсю, который сильно пострадал во время мощного землетрясения, произошедшего в марте 2011 года."
3,"Очаг сегодняшнего землетрясения располагался на глубине 26,2 км."
4,"Угроза цунами пока не объявлена, как нет и информации о пострадавших и разрушениях."
5,"Сегодня стало известно также о том, что президент компании — оператора аварийной АЭС «Фукусима-1» Tokyo Electric Power Co. (TEPCO) Масатаки Симидзу решил покинуть свой пост, взяв на себя ответственность за произошедшую ранее аварию."
6,"Официальное заявление будет сделано сегодня, наравне с подведением финансовых итогов квартала: убытки компании составляют порядка 12 млрд долларов."
7,"Напомним, 11 марта 2011 года произошло землетрясение магнитудой 9, вызвавшее цунами, в результате чего была разрушена инфраструктура северо-восточных районов Японии и выведена из строя система охлаждения реакторов на АЭС «Фукусима-1»."
8,"Это, в свою очередь, привело к пожарам, серии взрывов и утечке радиации на предприятии."
9,"Жертвами стихии, по официальным данным, стали 15 057 человек, судьба 9121 человека остается неизвестной."
10,"С территорий, прилегающих к АЭС, эвакуированы тысячи местных жителей."
