"sent_pos","source"
0,"По данным расследования, которое ведёт Совет Европы, Германия принимала участие в секретных перерациях ЦРУ по перевозки заключённых, подозреваемых в терроризме."
1,"Через Германию пролегали маршруты нелегальных самолётов, которые перевозили заключённых."
2,"Об этом сообщает Дик Марти (Dick Marty) в докладе о расследовании деятельности ЦРУ."
3,"Этот доклад опубликован в среду в Париже."
4,"Прямых доказательств не приведено, но имеется достаточно указаний, которые были получены в ходе расследования."
5,"В докладе сообщается, что на территории Польши и Румынии находились секртные тюрьмы, где содержались задержанные террористы."
6,"""Совершенно ясно, что некоторые европейские чиновники активно участвовали в таких незаконных операциях ЦРУ"", говорит Марти."
7,"""Некоторые страны сознательно это игнорировали или не желали знать об этом""."
8,"То ести они являются соочастниками нарушений."
9,"Вместе с Германией были названы ещё 13 европейских стран, среди них Турция, Испания и Кипр."
10,"В Ирландии, Великобритании, Португалии, Греции и Италии самолёты ЦРУ совершали промежуточные посадки."
11,"В связи с конкретными случаями называются Швеция, Босния, Великобритания, Македония, Германия и Турция."
12,"В то же время прямые доказательства не найдены."
13,"Однако многие ключевые элементы указывают на наличие секретных тюрем в Европе."
14,"Правительство США подтвердило тайную транспортировку подозреваемых в терроризме."
15,"США указывают, что они действовали с ведома вовлечённых стран."
16,"США отрицают, что при этом они нарушали какие-либо права."
17,"Варшава и Бухарест отрицают Польша и Румыния не признают обвинения."
18,"""Эти обобщения, которые основаны не на фактах"", сказал польский премьер-министр Казимеж Марцинкевич."
19,"Социалист Марти в своём докладе сообщает, что, вероятно, аэропорт в Польше использовался как пункт пересадки пленников ЦРУ, а также о секретном лагере для подозреваемых в терроризме."
20,"Доклад основан на предположениях, а не на доказательствах, сказал председатель румынской парламентской комиссии Ромео Райку (Romeo Raicu) в Бухаресте."
21,"В Румынии не найдены доказательства о существовании секретных тюрем ЦРУ."
22,"По сообщениям Марти, вероятно, в Румынии использовались два аэропорта для перевозки тайных заключённых."
23,"Несмотря на официальные опровержения в Румынии, вероятно, имелись секретные лагеря для подозреваемых в терроризме."
24,"Первые сообщения о заключённых ЦРУ и появились осенью прошлого года."
25,"При этом указания на секретные тюрьмы в Польше и Румынии всплывают вновь и вновь."
26,"Хотя официальные власти Польши отрицают наличие такмих тюрем, они подтвердили, что самолёты со служащими ЦРУ приземлялись в Польше."
