"sent_pos","source"
0,"Ежедневно в мессенджере отправляется два миллиарда сообщений, что вдвое больше, чем в конце прошлого года."
1,"Основатель ""ВКонтакте"" Павел Дуров рассказал об успехах Telegram ."
2,"Этот мессенджер стал основным проектом Дурова после его ухода с поста руководителя российской социальной сети ."
3,"По словам Дурова, с декабря 2014 года число пользователей Telegram увеличилось с 50 до 62 млн человек ."
4,"Ежедневно в мессенджере отправляется два миллиарда сообщений, что вдвое больше, чем в конце прошлого года ."
5,"Ежедневно, по заверению Дурова, Telegram пользуются 220 тыс."
6,"человек против 145 тыс."
7,"в декабре 2014 года ."
8,"NEWSru.com отмечает, что мессенджер распространен в Европе, Латинской Америке, Индии, арабских странах и в Юго-Восточной Азии ."
9,"Подчеркивается, что популярность Telegram возросла после того, как мессенджер WhatsApp был куплен Facebook за 19 млрд долларов ."
10,"Утверждалось, что через год после этого число активных пользователей мессенджера удвоилось и достигло 800 млн человек ."
11,"При этом также сообщалось, что некоторые пользователи были недовольны политикой Facebook и начали искать альтернативные мессенджеры ."
12,"Первый клиент для Telegram на iOS был представлен в августе 2013 года ."
13,"В 2014 году между Дуровым и фондом UCP произошел конфликт из-за прав на приложение ."
14,"Фонд купил активы компаний, контролирующих Telegram, что, как утверждал создатель мессенджера, было совершено незаконно ."
15,"Было выпущено приложение Telergam HD, заявленное Дуровым как новое официальное ."
16,"Впоследствии конфликт был решен в досудебном порядке ."
