"sent_pos","source"
0,"Найден шахматный манускрипт времён Возрождения По сообщения итальянского информационного агентства ANSA манускрипт о шахматах, считавшийся утерянным, был найден на вилле на северо-востоке Италии."
1,"Этот манускрипт, написанный математиком Лукой Пачоли (Luca Pacioli), считался навсегда утерянным."
2,"Манускрипт содержит 48 страниц, он был написан примерно в 1500 году."
3,"Манускрипт нашёл эксперт по старым рукописям Дуилио Контин (Duilio Contin)."
4,"Дуилио Контин разбирал коллекцию старинных рукописей и книг, которая осталась после смерти последнего графа Гульельмо Коронини (Guglielmo Coronini), который скончался в 1990 году."
5,"Манускрипт называется «De ludo scacchorum» («Об игре в шахматы») и был посвящен Изабелле д’Эсте (Isabella d'Este), жене правителя Мантуи Франческо Гонзага (Francesco II Gonzaga)."
6,"Об этом манускрипте было известно по ссылкам из других книг по шахматам того времени, но сам манускрипт до сих пор считался утерянным."
7,"Однако манускрипт был найден среди старинных книг и рукописей, которые Гульельмо Коронини приобрёл в Венеции в 1963 году."
8,"Манускрипт содержит множество иллюстраций поясняющих правила и стратегию игры."
9,"Иллюстрации выполнены красными и чёрными чернилами и отлично сохранились."
10,"Эксперты подтверждают авторство Пачиоли."
11,"Эксперт итальянского языка из университета Перуджи Энцо Маттезини (Enzo Mattesini) утверждает, что нет сомнений в том, что автором манускрипта является тосканский математик и францисканский монах, которого считают отцом бухгалтерского учета."
12,"Лука Пачоли родился в 1445 году в Тоскане (Tuscan) и умер в Венеции в 1517 году."
13,"Пачоли изучал теологию и вступил во Францисканский орден в 1470 году."
14,"Специалист в арифметике и алгебре, Пачоли путешествовал по Италии и занимался учительством."
15,"Однажды в Милане он даже давал уроки математики Леонардо да Винчи."
16,"В дальнейшем Пачоли продолжал сотрудничать с Леонардо да Винчи."
17,"В 1499 году Пачоли и да Винчи вместе бежали из Милана, после того как король Франции Людовик XII (Louis XII) захватил город и прогнал их покровителя Лодовико Сфорцу (Lodovico Sforza)."
18,"После этого они часто путешествовали вместе."
19,"Пачоли написал несколько работ, среди которых: Summa de arithmetica, geometrica."
20,"Эти работы были суммой знания математики того времени."
21,"В его работах впервые были опубликованы методы бухгалтерии, которые использовались купцами Венеции, и известные как система двойного учёта."
22,"За эту работу Пачоли признан отцом бухгалтерского учёта."
23,"Другая известная работа Пачоли — De divina proportione (1496 — 1498) была посвящена «Золотому сечению», и содержит иллюстрации Леонардо да Винчи."
24,"К сожалению, Пачоли, как полагают, украл некоторые части из неопубликованных рукописей итальянского живописца XV века Пьеро делла Франческа (Piero della Francesca), чьи математические работы оставалась неизвестными до тех пор, пока его рукописи не были вновь открыты в начале XX века."
