"sent_pos","source"
0,"Опасная ничья По результатам парламентских выборов в Ираке правящий блок и оппозиция получили равное число мандатов."
1,"Наблюдатели неспроста заговорили о возможном появлении в Ираке нового политического кризиса, который может вылиться в очередную вспышку насилия."
2,"Дело в том, что по итогам парламентских выборов, которые прошли в стране 7 марта, главные политические конкуренты ― возглавляемый премьер-министром Нури аль-Малики блок «Государство закона» и светский блок «Аль-Иракия» экс-премьера Айяда Аллауи ― набрали практически равное число голосов."
3,"В результате правящему блоку достанется 91 мандат из 325, а оппозиции ― 90."
4,"Другими словами, явного победителя выборы не определили, поскольку абсолютное большинство в иракском парламенте составляет 163 голоса."
5,"«Боюсь, что мирного перехода власти мы не увидим."
6,"Проигравший не признает своего поражения, и люди опасаются нового насилия», ― предупредил иракский полицейский Салман Реда."
7,"По его словам, в Багдаде предприняты беспрецедентные меры для обеспечения порядка и предупреждения возможных терактов."
8,"После официального оглашения результатов выборов (а до того момента главные соперники наверняка окончательно сравняются по количеству мандатов) блоки начнут сложную коалиционную борьбу."
9,"Как сообщает NEWSru.com, наибольший интерес для соперников может представлять Иракский национальный альянс, пришедший к финишу третьим, заняв 67 мест."
10,"Блоку «Курдистан» (альянсу Патриотического союза Курдистана и Демократической партии Курдистана) достались 43 мандата."
11,"Ещё один оппозиционный блок, «Перемены», займёт символические 4 места."
12,"От того, насколько быстро и безболезненно пройдёт формирование коалиции, зависит и утверждение нового состава правительства, которое в Ираке формирует президент."
