"sent_pos","source"
0,"282-я за френдленту Эксперты такие эксперты... За последние два года мы стали свидетелями нескольких обвинительных приговоров, которые выносились блогерам за их записи в интернет-дневниках."
1,"Однако на днях стало известно о том, что дело впервые могут завести не только за сами записи, но и за посты во френдленте, к которым блогер имеет такое же отношение, как прохожий к записям на заборе."
2,"Несколько дней назад пользователь ЖЖ blaginin перепубликовал у себя подзамочную запись юзера mf-pnz с текстом экспертного заключения по уголовному делу, расследование которого ведёт следственное управление УВД Пензы."
3,"Одной из отличительных особенностей этого «дела» стало то, что сотрудники милиции направили на экспертизу не только записи самого Волкова в его блогах и странице сайта «ВКонтакте», но и то, что было написано в его «френдленте» пользователями, которых юзер mf-pnz, он же гражданин Волков, всего-навсего читает."
4,"Справедливости ради стоит заметить, что обвинение ещё не предъявлено, и будут ли в нём фигурировать записи из ленты — вопрос."
5,"Судя по количеству «изъятых» сообщений (всего их более 1700), милиционеры просто направили экспертам всё, до чего дотянулись."
6,"Не исключено, что материалы в отношении других авторов будут выделены для возбуждения отдельных уголовных дел."
7,"Однако сама экспертиза тоже стала предметом пристального исследования блогеров, с составлением подборок перлов."
8,"Они начинаются ещё со списка использованной литературы, в который включён сайт ru.wikipedia.org без указания на конкретные статьи."
9,"Он значится в самом конце, а в начале стоят три книги профессора А.Н."
10,"Баранова."
11,"Который, конечно, большой учёный, но среди самых известных его работ — заключение по «делу Киркорова — Ароян» , в котором профессор «убедительно» доказывает, что в словах всенародной зайки на знаменитой пресс-конференции никакого оскорбления вообще-то нет... Примерно в таком же духе выдержано и большинство «лингвистических экспертиз», включая ту, что проведена по «делу Волкова»."
12,"Одной из отличительных их черт является отсутствие так называемой исследовательской части, в которой должен описываться ход экспертизы и те методы исследований, которые применяют эксперты."
13,"И в этом заключении под подзаголовком «Исследование» содержится простое перечисление того, что исследуется."
14,"«Исследовательская часть» нужна для того, чтобы выводы эксперта можно было проверить другому эксперту, если в том возникнет необходимость."
15,"Однако в большинстве «лингвистических экспертиз» она, как уже было сказано, отсутствует, в результате чего «заключение» превращается в простое изложение выводов эксперта, к которым он пришёл неизвестно как."
16,"В иронии или сарказме очень легко можно найти «возбуждение ненависти», если задаться такой целью."
17,"Вдобавок наши «органы» часто презюмируют желание обвиняемого «возбудить», даже если эксперт говорит только о том, что высказывание «может» это сделать."
18,"Для этого используются «свидетели», которым демонстрируются крамольные изречения и картинки и которые затем опрашиваются, чтобы сообщить следствию о том, какую ненависть в них эти материалы возбудили."
19,"Именно так, кстати, было на недавно прошедшем процессе из-за выставки «Запретное искусство»: толпы «свидетелей», впервые увидевшие крамолу в кабинете следователя."
20,"На вопрос о том, почему обвиняемый должен отвечать за субъективное восприятие «свидетелями» своих слов, следствие предпочитает не отвечать... Не случайно в «экстремистских» процессах часто разворачиваются «битвы на экспертизах», когда обвиняемый предоставляет в суд свою, «независимую», в которой содержатся выводы, противоположные тем, что сделала экспертиза «официальная»."
21,"Естественно, эти «независимые» заключения страдают тем же субъективизмом, что и официальные, но их авторы придерживаются противоположного мнения: что никакого «разжигания» в исследуемых материалах нет."
22,"Спорить так можно довольно долго."
23,"Заключение по «делу Волкова» наглядно иллюстрирует все эти особенности «судебной лингвистики»."
24,"Перлы из него уже растаскиваются на цитаты, включая самый «жгущий» про слово «глазища» (стр."
25,"15 заключения), в котором эксперты углядели придание «принебрежительного» значения слову «глаз»."
26,"Слово «принебрежительный» именно так и написано в тексте."
27,"(Напомню: одна из двух «экспертов» имеет высшее филологическое образование по специальности «русский язык и литература»...) Ещё в одном случае (стр."
28,"24) «отрицательная эмоциональная оценка» усмотрена авторами заключения во фразе «Чеченцы открыли огонь по русским из пистолетов и автоматического оружия»."
29,"Вот такие они, наши эксперты."
