"sent_pos","source"
0,"Государство предоставит гражданам налоговый кредит Дмитрий Медведев позволит россиянам накапливать небольшие задолженности перед фискальным ведомством."
1,"Глава государства внёс на рассмотрение в законодательный орган страны поправки, которые определят порог для исков Федеральной налоговой и Федеральной таможенной служб к физическим лицам."
2,"Инициатива Дмитрия Медведева направлена на разгрузку судов, вынужденных вести судопроизводство по копеечным искам (например, по долгам на 50 или 70 рублей)."
3,"Если учесть, что каждый день гражданского судопроизводства обходится казне в 27 тыс."
4,"рублей, то становится очевидно, что цель совсем не оправдывает средства."
5,"Поэтому в документе прописано, что ФНС и ФТС более не вправе подавать иск к физическому лицу, если сумма его долга не превышает 1,5 тыс."
6,"рублей."
7,"Другими словами, государство собирается предоставить населению страны налоговый кредит на миллиарды рублей, сообщает «Лента.ру»."
8,"Если парламентарии одобрят предложение президента, то суммарный «налоговый кредит», который получат граждане, составит 112 млрд рублей."
9,"Эксперты отмечают, что к ощутимому дисбалансу бюджета эти расходы не приведут, поскольку речь ведётся о суммах в 2—3 млрд рублей в год."
