"sent_pos","source"
0,"В Татарстане появились госсоветник и новый премьер-министр 22 апреля на очередном заседании Государственного Совета Республики Татарстан был утвержден новый премьер-министр Татарстана."
1,"Им стал мэр города Набережные Челны Ильдар Халиков."
2,"Накануне президент Татарстана Рустам Минниханов внес предложение рассмотреть кандидатуру Ильдара Халикова."
3,"«За» кандидатуру Халикова проголосовали 89 депутатов, 1 – против."
4,"Также депутаты утвердили вице-премьеров республики."
5,"В Правительстве Татарстана их будет 6."
6,"Президент Татарстана также внес предложение создать новое министерство - министертво энергетики Республики Татарстан."
7,"На заседании была расмотрена кандидатура Государственного Советника Республики Татарстан."
8,"88 депутатов из 90, присутствовавших на заседании Госсовета Татарстана, по предложению главы республики Рустама Минниханова утвердили экс-президента Татарстана Минтимера Шаймиева на эту должность."
9,"Минниханов отметил, что «отказываться от использования богатейшего опыта, политического багажа и авторитета Минтимера Шаймиева было бы просто неразумно и недальновидно»."
