"sent_pos","source"
0,"Как сообщает Agence France-Presse, Верховный суд Бангладеша снял запрет на издание так называемых фетв — правовых предписаний, основанных на законах ислама."
1,"При этом, однако, на фетвы наложены некоторые ограничения."
2,"В частности, их публикация разрешена только «исключительно образованными людьми»."
3,"Что под этим понимается будет разъяснено позже."
4,"Исполнение фетв будет носить добровольный характер."
5,"При этом, согласно решению, фетвы не могут содержать наказания, сопряжённые с физическим или моральным насилием."
6,"Этот пункт связан с тем, что запрет на фетв был наложен в 2001 году именно из-за случаев избиения женщин палками в соответствии с предписаниями старых фетв."
7,"Против запрета выступил ряд религиозных лидеров, аргументировавших свою позицию тем, что фетвы являются неотъемлемой частью исламской культуры."
8,"Правозащитные организации выступают за полный запрет фетв, поскольку считают, что они часто нарушают права женщин."
9,"Бангладеш является светским государством, однако 90 % жителей составляют мусульмане-сунниты."
10,"По числу последователей ислама страна занимает четвёртое место в мире после Индонезии, Пакистана и Индии."
