"sent_pos","source"
0,"В феврале этого года регион не смог вовремя провести платеж по кредиту ВТБ."
1,"Первым российским регионом, допустившим дефолт по определению Standard & Poors, стала Новгородская область."
2,"В феврале этого года Новгородская область не смогла вовремя провести платеж по кредиту ВТБ, сообщил РБК представитель областного департамента финансов."
3,"Срок погашения кредита был установлен 25 февраля 2015 года."
4,"Чтобы погасить кредит, правительство области объявило аукцион на привлечение кредита под ставку 23,63%, но аукцион провести не удалось."
5,"«Коммерческие банки, в том числе и ОАО «Банк ВТБ», не подали заявки на участие в аукционе, посчитав данную процентную ставку достаточно низкой», — говорится в комментарии, который получил РБК от областного департамента финансов."
6,"В итоге области все же удалось договориться о рефинансировании долга с самим ВТБ."
7,"«Правительство Новгородской области провело переговоры с ОАО «Банк ВТБ», в результате которых была достигнута договоренность о снижении процентных ставок."
8,"После этого обязательства погасили в течение месяца», — говорится в сообщении департамента."
9,"Объем кредита составлял «около 2 млрд рублей»."
10,"Согласно отчетности ВТБ, опубликованной на сайте ЦБ РФ, на 1 марта 2015 года банк зафиксировал просроченную заложенность от субъекта федерации на уровне 1,68 млрд руб."
11,"В пресс-службе банка РБК сообщили, что Новгородская область не имеет просроченных обязательств перед ВТБ, оставив без ответа вопросы о том, допускал ли этот или другие регионы, которым банк выдавал кредиты, просрочку по выплатам и на каких условиях удалось реструктурировать кредит Новгородской области."
12,"Ранее агентство S&P сообщило, что в первом квартале 2015 году как минимум один субъект РФ, не имеющий рейтингов агентства, допустил просрочку выплаты по банковскому кредиту вследствие ограниченного доступа к средствам рефинансирования."
13,"В терминологии S&P это означает дефолт региона: агентство считает дефолтом ситуацию, когда «заемщик не исполнил долговые обязательства в срок и в полном объеме», а не только неисполнение обязательств по облигациям."
14,"Эксперты S&P пишут, что им также известны случаи, когда «банк-кредитор был вынужден пролонгировать выданный ранее региону кредит по ставке ниже текущей рыночной — в связи с тем, что регион был неспособен погасить или рефинансировать кредит»."
15,"«В зависимости от деталей такой операции подобное событие согласно нашим определениям может трактоваться как предложение об обмене ценных бумаг, сделанное в стрессовых условиях (distressed exchanged offer), или эквивалент дефолта», — говорится в докладе S&P."
16,"По данным Минфина на 1 мая, по объему коммерческих кредитов Новгородская область среди субъектов РФ занимает только 34-е место."
17,"На 1 мая 2015 года долг области таким кредиторам составил 8,4 млрд руб."
18,"Это 57,6% от общего объема долга регионов."
19,"Соотношение долга к доходам области на 1 декабря 2014 года составляло 66,8% — по этому показателю регион входит в двадцатку проблемных."
20,"Источник в правительстве Новгородской области говорит, что региону не повезло со сроками: год только начался, и в условиях кризиса ни один банк не подал заявку на аукцион, так как все посчитали процентную ставку 23,63% слишком низкой."
21,"И это при том, что, по словам представителя Сбербанка (по оценке аналитика БКС Юлии Сафарбаковой, на него сейчас приходится 70% займов регионам), ставка кредитования регионов сейчас находится в диапазоне 14–15% и определяется в результате торгов."
22,"«Если региону необходимо погасить большой объем долга, часть средств он может получить у Минфина: у министерства предусмотрена помощь регионам, выплачивающим долг в текущем году, — однако она покрывает только половину суммы задолженности."
23,"Остальную половину нужно выплачивать из собственных ресурсов или привлекать средства на рынке», — рассказывает заместитель директора группы государственных финансов S&P Карен Вартапетов."
