"sent_pos","source"
0,"Расстаться по-хорошему не получилось Агент Гуса Хиддинка считает позорным поведение РФС в отношении голландского тренера."
1,"Большой осадок после расставания Российского футбольного союза с Гусом Хиддинком остался у обеих сторон."
2,"Россия чувствует, что недополучила от голландца путёвки на ЧМ-2010, тренер обижен на своих бывших работодателей за то, что те до сих пор не выплатили ему зарплату за 2010 год."
3,"Действительно, некрасиво получилось."
4,"Претензии голландского футбольного специалиста озвучил его агент Кис ван Ньювенхейзен, который назвал позором поведение РФС."
5,"«Не стану отрицать, Хиддинк уже вовсю включился в работу со сборной Турции."
6,"Но это не что иное, как реакция Гуса на поведение со стороны РФС, которым Хиддинк сыт по горло!"
7,"Как вы знаете, федерация не платит ему зарплату с января."
8,"Меж тем Гус продолжал добросовестно выполнять свои обязанности в России: съездил на февральскую жеребьёвку Евро в Варшаве, в марте провёл товарищеский матч с Венгрией."
9,"Но если РФС не выполняет контрактных обязательств на протяжении полугода, почему Хиддинк должен их соблюдать?"
10,"Я вам признаюсь: за 30 лет, что я в футболе, я ни разу не сталкивался с подобным."
11,"Это позор!» — цитирует NEWSru.com агента."
12,"Напомним, официально контракт Хиддинка с РФС заканчивается 15 июля."
13,"Новым наставником сборной России по футболу уже назначен его соотечественник Дик Адвокат, а сам Хиддинк уже работает в Турции, хотя по соглашению должен перейти в новую команду только в августе."
14,"По словам Ньювенхейзена, его клиент подаст в суд на РФС, если до 15 июля РФС не заплатит ему весь причитающийся гонорар."
