"sent_pos","source"
0,"Этот вирус может стереть в компьютерах пользователей файлы в форматах Word, MS Excel, PowerPoint и Acrobat."
1,"Вирус Nyxem был обнаружен 16 января и уже успел нанести некоторый урон."
2,"Этот «червь» известен также под именами: Blackworm, MyWife, Kama Sutra, Grew и СМЕ-24."
3,"Он начинает действовать третьего числа каждого месяца и стирает файлы, созданные популярными программами."
4,"В Интернете существует счётчик, который отражает количество заражённых компьютеров."
5,"В настоящий момент это количество доходит до миллиона."
6,"Специалисты, однако, считают, что это число сильно завышено и оценивают число заражённых компьютеров в 300 000."
7,"Вирус проникает в компьютер с электронной почтой."
8,"Письма с этим вирусом предлагают ссылки на порно сайты."
9,"Проникнув в компьютер, вирус начинает сам себя рассылать по электронной почте."
10,"Иногда, вирус парализует работу клавиатуры и мыши."
11,"Уже начался выпуск антивирусных программ, которые могут уничтожить вирус в заражённом компьютере."
12,"Тем не менее, рекомендуется принять дополнительные меры безопасности и сделать копии важных файлов."
13,"Типичные заголовки почты, содержащий вирус: • Fw: Funny :) • Fw: Picturs • Hot Movie* • Fw: SeX.mpg • Re: Sex Video • Miss Lebanon 2006 • School girl fantasies gone ba"
