"sent_pos","source"
0,"Электричество из бамбука В Японии построят уникальную электростанцию Японская компания Fujisaki Electric Co. собирается построить в префектуре Ямагути первую в мире электростанцию, которая будет вырабатывать энергию за счет сжигания бамбука."
1,"Ее возведение начнется уже в январе 2016 года, а заработает она в начале 2017."
2,"Установленная мощность электростанции составляет 2 МВт, чего хватит, по утверждению компании, для обеспечения электроэнергией примерно 4,8 тыс."
3,"домохозяйств."
4,"На строительство компания планирует потратить $19,4 млн, пишут местные СМИ."
5,"Бамбук, а точнее отдельные его виды, занесены в Книгу рекордов Гиннеса, как самое быстрорастущее растение на Земле."
6,"Всего за сутки его стебли увеличиваются в высоте до 75 см."
7,"Причем стоимость культивации бамбука сравнительно низкая, а расти он может практически в любых условиях."
8,"Его стволы достаточно прочные, чтобы использовать их в качестве строительного материала."
9,"После аварии на АЭС ""Фукусима-1"" в Японии были остановлены все атомные электростанции, на которые до этого момента приходилось до 30% в энергобалансе страны."
10,"В этой связи большое внимание уделяется развитию альтернативных источников энергии и продвижению соответствующих технологий, в то время как Япония довольно сильно отстает в этой сфере от других развитых стран."
11,"В стране растет количество станций, работающих за счет возобновляемых природных ресурсов - энергии ветра, солнца, морских волн."
12,"Так, 11 июня в городе Касаи (префектура Хёго) была запущена крупнейшая в мире плавучая солнечная электростанция мощностью 2,3 МВт, а у берегов префектуры Фукусима в сентябре планируется в тестовом режиме запустить плавучий ветрогенератор мощностью 7 МВт, который станет элементом крупнейшей в мире плавучей электростанции."
