"sent_pos","source"
0,"Маэстро не видит звёзд."
1,"Музыкальный конкурс «Новая волна-2009» в этом году может пройти без Раймонда Паулса."
2,"Главный латышский композитор много лет был идейным вдохновителем и душой «Новой волны»."
3,"Однако в этом году Паулс ещё не уверен, что примет участие в работе жюри конкурса, сообщает baltinfo.ru."
4,"Пока идёт подготовительный период, маэстро по-прежнему участвует в прослушиваниях, размышляет, кто же сможет представить на конкурсе Латвию и ждёт появления новых имён на латышском музыкальном небосклоне."
5,"Впрочем, композитора беспокоит отсутствие новых звёзд не только в Латвии, но и в России, а также во всём мире."
6,"Паулс считает, что на эстраде «гремят ветераны», а настоящих, нефабричных супрезвёзд давно не рождалось."
7,"Совсем недано ушедший из жизни музыкальный король Майкл Джексон в своё время совершил переворот в поп-музыке, а сейчас явлений подобного масштаба в музыкальном мире нет, считает маэстро."
8,"Окончательного решения о своём членстве в жюри «Новой волны-2009» Раймон Паулс ещё не принял, хотя заявлял о выходе из его состава ещё в прошлом году."
9,"Напомним, впервые желание покинуть конкурс у композитора возникло после скандала, когда ведущие конкурса позволили себе шутки, показавшиеся некоторым латышам оскорбительными для их национальных чувств."
