"sent_pos","source"
0,"Джордж Буш призвал прекратить оккупацию палестинских территорий Президент Буш в ходе своей поездки на Ближний Восток заявил, что палестинцам и израильтянам придется принять трудное решение и пойти на серьезные компромиссы, чтобы достичь мирного соглашения."
1,"Глава Белого Дома в пятницу посетит святые места в Галилее и мемориальный комплекс Яд ва-Шем."
2,"Осмотр достопримечательностей завершает двухдневные сепаратные переговоры с израильским и палестинским лидерами в Иерусалиме и Рамалле (штаб-квартире палестинского управления)."
3,"Президент Буш в четверг прилетел в город на Западном берегу — Вифлеем, приземлившись рядом с теми местами, где согласно христианской религии родился Христос."
4,"Здесь же Джордж Буш посетил церковь Рождества Христова."
5,"В четверг президент Буш призвал Израиль прекратить оккупацию территорий, которые были захвачены 40 лет назад."
6,"Он добавил, что израильтянам и палестинцам необходимо сделать «трудный выбор», чтобы достичь мирного соглашения."
7,"Израиль захватил Западный берег и сектор Газы в 1967 году во время Шестидневной войны."
8,"Глава Белого Дома признал, что статус Иерусалима — «крайне сложный вопрос»."
9,"Израильтяне считают этот город своей столицей, а арабы хотят, чтобы восточная часть Иерусалима стала столицей их будущего государства."
10,"Президент Буш сказал, что мирный договор должен дать уверенность Израилю в том, что его существование признано и границы безопасны."
11,"Палестинцы в договоре должны получить гарантии, что их государство жизнеспособно и суверенно."
12,"Во время поездки по Ближнему Востоку глава Белого Дома посетит Кувейт, Бахрейн, Объединенные Арабские Эмираты, Саудовскую Аравию и Египет."
