"sent_pos","source"
0,"Ход строительства космодрома «Восточный» вписался в график Вице-премьер Дмитрий Рогозин в понедельник во время визита на космодром «Восточный» провел совещание на тему готовности строительных объектов к проведению монтажа оборудования, а также решения проблем с выплатой заработных плат работникам субподрядных организаций, которые привлекались для проведения строительных работ «Дальспецстроем»."
1,"Заместитель директора Спецстроя России Александр Мордовец, непосредственно на месте контролирующий работы по созданию космодрома, отрапортовал на совещании, что «на большинстве объектов уже идут завершающие работы, а основная задача спецстроевцев – обеспечение проведения пуско-наладочных работ основных технологических систем»."
2,"В настоящее время общая строительная готовность сооружений стартового комплекса достигает 85,8%."
3,"Завершены строительно-монтажные работы в основных технологических блоках стартового комплекса."
4,"«Общая строительная готовность блоков сжатых газов, кислорода и азота, керосина и нафтила позволяет выполнять монтажные работы на основных технологических системах», - доложил Мордовец."
5,"До 1 мая будет завершена передача помещений стартового комплекса под монтаж технологического оборудования."
6,"Дмитрий Рогозин услышанным остался доволен."
7,"«Работы идут довольно-таки интенсивно."
8,"Судя по всему, мы прошли самый критический, самый сложный момент стройки."
9,"Входим в нормальный, здоровый ритм», - отметил Дмитрий Рогозин."
10,"Вице-премьер подчеркнул, что и него, и у главы Роскосмоса все больше убежденности в том, что «все должны успеть»."
11,"Он добавил, что нельзя добиться успеха, если на строительной площадке существуют проблемы с рабочими, с выплатой им зарплаты."
12,"Напомним, в апреле работники субподрядной организации «Стройиндустрия-С» объявили голодовку по причине задержки заработной платы за несколько месяцев."
13,"Проблема заключалась в том, что субподрядные организации фактически сорвали сроки исполнения контракта."
14,"В «Дальспецстрое» говорят о том, что ряд договоров, в том числе и со скандально известной компанией «Стройиндустрия-С», разорваны."
15,"Тем не менее «Дальспецстрой» проявил готовность идти на компромисс, чтобы решить проблемы людей."
16,"«Все выполненные работы оплачиваются – это принцип работы Спецстроя."
17,"Недопустимо, чтобы люди не получали зарплату, вне зависимости от того, трудоустроены они в структуре Спецстроя России или в субподрядных организациях», - отметил директор «Спецстроя России» Александр Волосов."
18,"- Обстоятельства во всех этих организациях разные, и в каждом конкретном случае Спецстрой России совместно с коллегами из правоохранительных органов, прокуратуры и трудовой инспекции ищет верный подход для решения существующих проблем»."
19,"В частности, Дальспецстрой предоставил целевой займ ООО «Идеал» для погашения задолженности по заработной плате."
20,"24 апреля платеж в 19 миллионов рублей был осуществлен через Федеральное казначейство по Хабаровскому краю, что позволит полностью исключить нецелевое использование денежных средств и обеспечит выплату задержанной заработной платы."
21,"В «Дальспецстрое» подтвердили, что проблемы с задержкой заработной платы специалистам субподрядных организаций, не повлияли на ход производства работ: «Технологический процесс не замедлялся - своевременно была проведена передислокация сил и средств подведомственных предприятий «Спецстроя Росси» и для поддержания интенсивных темпов работ»."
22,"Дмитрий Рогозин констатировал, что «работы идут довольно-таки интенсивно»: «Судя по всему, мы прошли самый критический, самый сложный момент стройки."
23,"Входим в нормальный, здоровый ритм»."
24,"«Очевидно явное движение на стройках."
25,"Видно, что руководство Спецстроя выполнило свои обещания нарастить объемы по объектам."
26,"Мы, действительно, сейчас исходим из того, что мы вписываемся в график», — сказал зампред правительства."
27,"Похоже, что период недоверия по отношению к «Спецстрою», как основному ответственному за строительство, завершился."
